start,end,line
0:18:48.940,0:18:54.25,the early no it had to be my dad so I
0:18:50.950,0:18:56.23,could be if you guys do you're in would
0:18:54.250,0:18:57.70,you would you write lines and then
0:18:56.230,0:19:00.46,rearrange them at that point or were you
0:18:57.700,0:19:04.15,kind of composing more closely full
0:19:00.460,0:19:07.94,homes exactly the same way I do it now
0:19:04.150,0:19:10.67,okay to change I need to tell them that
0:19:07.940,0:19:12.65,right straight lines and then start
0:19:10.670,0:19:16.07,pulling them together and rearranging
0:19:12.650,0:19:18.44,and you know different so it's much more
0:19:16.070,0:19:19.04,cumbersome to to retype it all than it
0:19:18.440,0:19:23.21,is now
0:19:19.040,0:19:27.65,yeah but essentially the same process
0:19:23.210,0:19:29.81,okay and then as you progress in your
0:19:27.650,0:19:37.21,career I mean when did you move to a
0:19:29.810,0:19:37.21,computer my first computer was probably
0:19:38.530,0:19:43.07,computer in graduate school I think
0:19:41.000,0:19:45.80,probably at the end of now because I
0:19:43.070,0:19:47.51,wrote my dissertation on the time now it
0:19:45.800,0:19:51.89,had a computer when I was writing my
0:19:47.510,0:19:54.77,dissertation in Virginia in the early
0:19:51.890,0:19:57.35,90s early 1990-91 and so when you were
0:19:54.770,0:19:59.54,when you were getting your PhD how what
0:19:57.350,0:20:03.44,was your writing style like I mean were
0:19:59.540,0:20:05.89,you writing a home mostly yeah and I was
0:20:03.440,0:20:09.71,writing I was doing one waltz it - okay
0:20:05.890,0:20:10.97,through Charlotte so something and it
0:20:09.710,0:20:13.58,was that when you started writing down
0:20:10.970,0:20:15.23,on the note cards now that's a pretty
0:20:13.580,0:20:20.00,recent thing that's a more recent video
0:20:15.230,0:20:21.35,okay so so you you've kind of so that's
0:20:20.000,0:20:24.55,sort of early that sort of note-taking
0:20:21.350,0:20:27.47,walking establish free early
0:20:24.550,0:20:29.69,what did anything change like as you
0:20:27.470,0:20:32.44,move to Bellingham or was the process
0:20:29.690,0:20:34.76,fairly similar for prewriting etcetera
0:20:32.440,0:20:37.73,it's been pretty constant yeah pretty
0:20:34.760,0:20:40.31,pretty Hamilton has it changed by
0:20:37.730,0:20:42.56,location at all I mean I guess one big
0:20:40.310,0:20:46.31,event property in your writing life is
0:20:42.560,0:20:47.84,is this thing what was it like I mean
0:20:46.310,0:20:49.52,was there a change when this came in
0:20:47.840,0:20:52.33,here I wouldn't was distilled this
0:20:49.520,0:20:55.43,cottage thinking about seven years ago
0:20:52.330,0:20:58.19,did-did-did your writing practice change
0:20:55.430,0:21:02.09,very much for it or was it just made
0:20:58.190,0:21:04.73,much more useful hey this is my flipper
0:21:02.090,0:21:07.25,this thing is crucial to my writing okay
0:21:04.730,0:21:10.13,this is the window check crank for a
0:21:07.250,0:21:12.83,hold fashioned window yeah and growing
0:21:10.130,0:21:16.04,up in Macon Georgia uh-huh and as a
0:21:12.830,0:21:19.57,child that started a process of flipping
0:21:16.040,0:21:19.57,this one or do
0:21:19.630,0:21:25.09,and I thought my flipper it's crucial to
0:21:22.720,0:21:27.04,my writing and I've had it ever since I
0:21:25.090,0:21:29.73,was a little kid okay but as a kid I
0:21:27.040,0:21:33.58,would throw it when I was thinking and
0:21:29.730,0:21:38.83,even as a teenager I would write mostly
0:21:33.580,0:21:40.39,by flipping this thing and um and but
0:21:38.830,0:21:41.89,it's something about the action or
0:21:40.390,0:21:43.71,repetitive action of throwing and
0:21:41.890,0:21:46.99,catching that's always been really
0:21:43.710,0:21:48.34,important to generating ideas yeah it's
0:21:46.990,0:21:51.43,similar to the kind of rhythm I have
0:21:48.340,0:21:55.26,when I'm walking at things uh-huh that
0:21:51.430,0:21:58.21,kind of rhythmic catch and release
0:21:55.260,0:22:00.07,so often when I'm writing all through my
0:21:58.210,0:22:02.26,life up get this thing that's been
0:22:00.070,0:22:04.51,afflicted while I'm thinking yeah and
0:22:02.260,0:22:07.87,it's often I can't think unless I'm
0:22:04.510,0:22:10.54,doing that the kinetic thing I think
0:22:07.870,0:22:13.80,yeah and when I'm walking off and I have
0:22:10.540,0:22:16.18,a stick or you know stick to them
0:22:13.800,0:22:19.54,something that in with the hands almost
0:22:16.180,0:22:20.95,always to it you know so I lost this
0:22:19.540,0:22:23.41,thing for a couple of years somehow I
0:22:20.950,0:22:27.93,got lost tonight it probably crazy
0:22:23.410,0:22:33.43,I found it I was like my flipper is back
0:22:27.930,0:22:34.87,that's really what what like like it
0:22:33.430,0:22:37.54,within the writing process do you have
0:22:34.870,0:22:39.85,certain times when you pick it up I mean
0:22:37.540,0:22:41.14,are you more likely to use it when
0:22:39.850,0:22:42.73,you're generating work or when you're
0:22:41.140,0:22:46.66,revising where is it
0:22:42.730,0:22:49.18,every up all times hold on especially
0:22:46.660,0:22:51.91,when I'm revising and when number of
0:22:49.180,0:22:53.04,eyes and I say the poems aloud over and
0:22:51.910,0:22:56.65,over okay
0:22:53.040,0:22:58.15,always and often when I'm walking I can
0:22:56.650,0:23:00.10,always tell a poem is almost finished
0:22:58.150,0:23:02.02,but because I've come to the point where
0:23:00.100,0:23:05.44,of memorized it without trying to yeah
0:23:02.020,0:23:08.80,just from saying it aloud some a times
0:23:05.440,0:23:10.90,mm-hmm and often good I'm walking I get
0:23:08.800,0:23:12.88,to a point where I've got a draft in my
0:23:10.900,0:23:15.97,mind and a mumbling to myself aloud
0:23:12.880,0:23:16.92,while I'm walking yeah to hear the
0:23:15.970,0:23:24.63,rhythm of it
0:23:16.920,0:23:26.31,sounded you know the words of it but
0:23:24.630,0:23:28.56,whenever advised in or when I was
0:23:26.310,0:23:31.74,generating new ideas alphys uselessly
0:23:28.560,0:23:34.68,yes and though my roommate in college
0:23:31.740,0:23:37.95,told me went to then there were first
0:23:34.680,0:23:42.81,day I was done I would leave her house
0:23:37.950,0:23:44.64,and come back to my my own room in in a
0:23:42.810,0:23:46.68,house where I was renting a room and I
0:23:44.640,0:23:48.42,would lie to bed and flip this thing he
