original,line
78,allows you to see those possibilities
79,almost all letters okay but I don't you
80,almost as the typewriter is and then how
81,almost entirely unrelated so that kind
82,along a longer thing when I'll get
83,also gets complicated - you have this
84,although it was written while I was
85,although sometimes I change title so I
86,always believed that writing begets
87,always ready to pencil and and I'll go
88,American fear what is there when you're
89,American Lit class English 570 so
90,an Aston Martin and live in the South of
91,anatomy of melancholy and other poems
92,anatomy of melancholy five five books
93,anatomy of melancholy I thought I had
94,and a couple of other people just to
95,and after a while I'll just dump those
96,and and got real keen on poetry and
97,and and I've got a bunch of those that
98,and and so we have a great deal of fun
99,and and sometimes make discoveries you
100,and and the president of Viking came up
101,and as serious as a say a 21 year old
102,and conversely has it what sort of
103,and eliminate the others or print them
104,and finding say located this batch of
105,and for some people they get tangled up
106,and forth and so I'm trying to track
107,and forth more with the typewriter are
108,and going to ebooks much and if it does
109,and he was there and I gave this reading
110,and how you did it in so it's going to
111,and I can do that with I can get
112,and I can start writing down lines and
113,and I guess I'm wondering he could sort
114,and I guess we'll talk about teaching
115,and I just thought to myself and they
116,and I looked at it on the page on the
117,and I'll come home and I immediately
118,and I'll go back in and think I want to
119,and I'm not producing this anymore
120,and it can open up it can open up in so
121,and it changed everything about the poem
122,and it's awesome not always but it is
123,and it's easy enough to look at them
124,and just crush my laptop I managed to
125,and kuba ganas poet Blackfeet Indian
126,and looked into graduate school and
127,and most of those they rallied prints
128,and my own marginalia on my own poems
129,and not have to type it completely in or
130,and pull a book off the shelves almost
131,and put them in order in the order in
132,and realizing and a lot of it had to do
133,and said do you have a book I said why I
134,and say well suppose could be called
135,and see how they and read them that it
136,and so I can I can not pay attention to
137,and so I think beginning system is you
138,and so I wrote this you know it's five
139,and so then you've been we've been out
140,and so you're sort of talking about this
141,and somehow converting the handwritten
142,and start making and I have a system of
143,and that just you know more and more or
144,and that sort of that's your like online
145,and that was when I moved from actually
146,and that's a very serious distinction
147,and that's so that's what I that's what
148,and that's that and that that's pretty
149,and that's when I decided to sort of
150,and that's where I usually smoke my
151,and the boxes eat your scholars the
152,and the the process of revision is
153,and then a kind of Shakespearean couplet
154,and then I started tenure track on a job
155,and then wait and see what would happen
156,and then your other folder they're what
157,and they didn't have to who am I to talk
158,and this probably would have been let's
159,and twenty some odd lines it was eight
160,and we were both in England with Dennis
161,and we'll have a you know a good two and
162,and what if there's a bit of phrasing on
163,and write it back down longhand in the
164,and you have been six years of them over
165,and you're they say that means who's
166,anise I can add two or three links the
167,another check so they're a couple spots
168,another one of those manuscript boxes
169,ant one and two and three because I'm
170,any different than any other than the
171,any hang I've published before so and I
172,any money off me anyway okay all right
173,any vault yeah let me try guys just a
174,anybody else to look at who was not Kim
175,anymore
176,anymore because I'm not you know I
177,anymore it's out here somewhere
178,anything but my editor said Donna you
179,anything else that existed along the way
180,anything particularly holy about the
181,anything that changed when you move from
182,anyway so I I can do that I can get
183,anywhere along the way which was
184,appeal to me and I'll open up open it up
185,appeared as kind of a little preparatory
186,appears though a reverse and not prose
187,arc it's it's boy it's a very pale arc
188,archival if that doesn't make sense with
189,archiving I never have and probably I
190,arduous thing and and it might not have
191,are all these are all Dan there's a
192,are bird calls them thesis binders so
193,are still in progress have you ever
194,are you fucks with organizing that media
195,around this is what the title is I'd
196,around with a musical phrase to see
197,as a book stop and I didn't used to have
198,as a gradual change or not change orders
199,as a piece of technology so I used it as
200,as as in say anatomy of melancholy a
201,as in Jesus you have somebody and
202,as it stands there and I'll eliminate
203,as many possible readings if you will as
204,as music and and mostly all my files and
205,as people I know who send me terrific
206,as sections throughout the book actually
207,as writer's block if you call a plumber
208,as you know publication is not the same
209,assemble another file consisting of
210,assuming so New Yorker with all that
211,at a time that's on a page that love but
212,at all I had to put a pencil debate or a
213,at least in those those two books of
214,at Montana when I was in graduate school
215,at random I mean sometimes I have no
216,at the beginning of trying to write
217,at the end or at least a kind of cup
218,at which there were the president of
219,attachment with a couple of poems and
220,auntie I told her about my and we wound
221,back but this is going to be kind of
222,back here that in fact need to be moved
223,back in here and find like four five
224,back stuff up on mozi just to just to
225,back they still like the idea of letters
226,back through here and you end and go
227,back to college and within a matter of a
228,back up every hour it would just back up
229,backspace here space here yeah return
230,backup is that pretty much what worried
231,ballin in typewriter typing in page
232,basically the pile which is not very
233,basically to ten questions are coming
234,be about something sure they're about
235,be afflicted by some bug yeah and and
236,be fine yeah but I do think that it's
237,be kind of the next thing and then the
238,be Tuesday and Thursday so I teach
239,be working I'm not going to like present
240,beards and Cornelius Eady and nobody
241,became part of it did it change your
242,became part of your life that you get
243,because I it's so it's just a way of
244,because I was continually picking
245,because I wrote him and I've got a file
246,because looking at it on this on the
247,because of that but and then everybody
248,because sometimes it will be I know it's
249,because that's that's the place where
250,because that's what that's really what
251,because there's not a date on them
252,because there's that's a recipe for
253,because they can do that and it's a
254,because they filled up really fast it's
255,because they're really it is a
256,becomes also the part of the revision of
257,been here for a long time so when this
258,been here in a long time but could be
259,been it really has been and it was that
260,been published and maybe a few more in
261,been using for the last well 20 years I
262,before I went to sleep but then yeah we
263,before them you know when it had to be
264,began haunting the library of my alma
265,began this is my submission notebook
266,began using computers on a regular basis
267,began when I started converting to the
268,being CFL opinions were sort of
269,being cluttered up yeah and make and
270,being gone for 13 days while we went to
271,beings big as it can possibly be having
272,believe you're sitting you're sort of
273,belong to James Welch the great novelist
274,better outside and out how do you mean
275,better way out of the book so I still
276,between them then I've got to go back
277,big fun - I do love sonnets I should
278,binders are called it Harvard and
279,bit more computer is absolutely those
280,bless him but we haven't we had a
281,book happens before the first poem in
282,book is in advance even before I've
283,book of poems how the book works on the
284,book that's in four sections then I have
285,books but I love the form and the form
286,books out there run along I'm interested
287,books you know
288,bookstores I buy them I'm not
289,boring questions only boring answers and
290,boring to a lot of people but I think -
291,born February 27 to 1951 we are sitting
292,both mostly I think it's positive mostly
293,bought me one of these and I and I and I
294,box out from the house and it takes me
295,boxes are hundreds of them and I got a
296,boxes oh so do you save the drafts of
297,Brandon trans yes there's no such thing
298,break this into terse is because like
299,bring some other kind of an image some
300,bring you this to the end of this
301,British poets pockets no all right well
302,British publisher so they shipped
303,bruh all she did was correspondence with
304,brutal for you
305,build on my glasses on but yeah making
306,built this building in 2002 so 11 years
307,bullets and say here's this anise anise
308,bumps I don't hate pros bones I just
309,but and all those kinds of things but I
310,but do you think do you see like this
311,but don't really know and a lot of
312,but I do that's one of the reasons why I
313,but I think I kind of used it really as
314,but if there's a point at which one's
315,but in fact it seems to me like a much
316,but it gets day it gets the it gets the
317,but she didn't really want to be with
318,but that's what it did find something
319,but then I got waylaid by poetry and and
320,but then the issue becomes for them a
321,but there are these little short
322,but they loved me and tried to
323,but this draft was composed on the
324,but yeah well it is an interesting move
325,but you know there's then there's a
326,buy them in the bookstore at Montana but
327,by the time Li they will confine me
328,by which I mean I set the margins and I
329,cable buried an Ethernet cable up so I
330,call them versions of all of the books
331,called and I got the delivery date
332,called in the bank of beautiful Sam that
333,called it will be what oh wait there's
334,called stanza one of the two Italian
335,called them then they've had a minimal
336,came to be practicing it before you were
337,can allow you to see things about its
338,can come move into sort of talking about
339,can do I can do a search I can type a
340,can have no control over that so I'm
341,can I make those things all work
342,can open it up here okay and so you
343,can use your outdoor urinal it's right
344,can you do you see any distinct stages
345,can you know can we meet tomorrow I know
346,can't get away from the students that
347,can't write lower your standards and
348,capable of finishing it I'd got onto
349,career how what how did you kind of go
350,career side but they get all knotted
351,cartons of paper North Texas those
352,certainly from from my second book on my
353,certainly made so much more fluid and
354,challenge what if I allowed the computer
355,change this and I'll change something
356,changed at all I don't think it has
357,changed at all I mean there was a time
358,changes but I made some changes here and
359,changes much about the way I compose but
360,clarity but with the kind of evocative
361,class discussion together with all sorts
362,close to read key for couldn't he
363,closet in the basement or are like
364,code I forgotten the original question
365,cold weather I build a fire get it
366,collection and then I guess once you you
367,collection and this is mostly what I've
368,collection of poems there if there's an
369,columns in because it was kind of a
370,combined them all into one for
371,come back up and stay till about 5:00
372,come from from ideas they tend to come
373,come next and so before you were using
374,come out and I'll look at the shelves
375,come out and that's why this there's
376,come out here and sit down and make a
377,come to you when you were younger and
378,comes to be in life but the problem with
379,comfort and use of it has that sort of
380,committed to the closet a lot much
381,committee I can get them to schedule
382,communicate so quickly yeah but then you
383,communication that's going on through
384,communications a lot of the
385,communications you know I've got just
386,compact a little tiny laptop as we
387,completely changes my focus once I know
388,compose on always I compose prose on the
389,composed on the computer the whole of it
390,composing what I don't have anything in
391,comprised in the same number of lines
392,compulsive syllable counter even if
393,computer and and that's and I've been
394,computer and fear is a little different
395,computer but it kept me from writing
396,computer came along was it it saved time
397,computer coming through your teaching
398,computer did it do you find yourself
399,computer I can't imagine being a prose
400,computer I think that you know a lot of
401,computer moving poems and in different
402,computer onto an external drive now I
403,computer screen for a long time before I
404,computer that was nothing but poems that
405,computer was after I was in this little
406,connected yeah yeah I'm I when I built
407,consider anything complete until I print
408,consult just to sort of trip on the
409,convenient but it's not as it isn't as
410,convert myself to part-time writing
411,copies it was a lot easier to get to the
412,correspond much now with other writers
413,correspondence and but I guess overall
414,could but I could do the selected
415,could hang on the wall that says cutting
416,could have been with writing longhand or
417,could have been you don't want to drive
418,could have left them on it wouldn't hurt
419,could make you see what you were doing
420,couldn't bear rejection and I figured
421,couldn't really didn't want me to do it
422,couldn't write here all I do is look out
423,couple and there's no internet and kids
424,couple different sections the first
425,couple of old ones here that went held
426,couple of others egad I'll just pick it
427,course of writing whereas it has it been
428,course of your career you see like
429,crashes and whatnot in the earlier days
430,crazy at penguin because they're always
431,cutting and I cut 600 lines it's called
432,cuz they were they've already broadcast
433,dad I mean
434,dangerous for me in the beginning I
435,date but then you resave it you modified
436,date I'll have it and it works so well
437,date on it and the number of see just
438,daughter's the one who let me know of
439,David Baker a few years ago just to you
440,day it's very easy to do that it's a
441,day when I'm gone just doing regular
442,day-to-day life I mean there's much more
443,dead so I get this is a sort of simple
444,den it's great to get to meet you and
445,DES it was fine then it's got this
446,describing sort of TS Eliot versus Pound
447,desperation and on this yeah
448,despised toward cram
449,device to the other no I try to keep I
450,dick was a completely other kind of
451,did one of these already with Nancy and
452,did that how did that sort of change you
453,did you start using those
454,didn't actually ask you one question I
455,didn't get to see much of all bruh
456,didn't know what it was right in the
457,didn't want a job but I wound up working
458,didn't want to be a poet I never really
459,difference between there's boxes as well
460,differences between you are moving back
461,different feeling a different service I
462,difficult his files will be you know
463,digital analog method of of notation and
464,disadvantage I don't have I don't have
465,disadvantages really I have no sort of
466,disadvantages you see it I don't see any
467,disaster
468,discomfort with the idea of theme
469,discovered that I preferred easily the
470,discovered there was this degree called
471,distinct shifts or do you sort of see it
472,do have a lot of paper right and and I
473,do I am wired out here yeah but I try to
474,do I mean look how neat that it's just
475,do it still
476,do Lucifer duelin great yeah when it hit
477,do you do it on the computer or do you
478,do you own or have access to for your a
479,do you revise federal talk and that'll
480,do you uh so you have do you have like
481,do you work on a devices at the
482,documentary computers mm-hmm yeah and
483,doesn't seem this into why is it any
484,doing something else I think it was
485,dominant themes and I said I'm sorry
486,done anything to your own teaching or
487,don't
488,don't have a book manuscript yet but if
489,don't have to have any kind of regular
490,don't know what that does to that's just
491,don't know where I have piles in these
492,don't like send your poems to other
493,don't put them all together I do it it
494,don't see the point which is probably
495,don't tweet know Kim's Kim's on Twitter
496,don't worry about the book disappearing
497,doodle I can write a phrase I can just
498,down at the computer and try to begin
499,down the page it so when you win this
500,down the road or poems that are still
501,down to revision I'm dealing with the
502,down trying to write a great poem
503,draft and I'll put page numbers on then
504,draft and which is why I fill up so many
505,draft by draft
506,draft number two so Ikey I do have a
507,draft of a poem that's that's the part I
508,drafts worksheets whatever you want to
509,drive before how did you what was that
510,drive me nuts so I does it had
511,driven by sounds is given by being
512,driven by structure of the poem in
513,earlier part of your career to get
514,early on here but I'll give you an get
515,earthing meditations which originally
516,easiest one to find I've got a gmail
517,easily available to you to write your
518,easy to do and so easy to examine to
519,EC oh cool yeah it's great
520,Edwardsville my first poetry professor
521,eight
522,either I do or I've convinced myself
523,either that or not I don't know it might
524,electricity even find them and see how
525,electronic files now I'm printing this
526,electronically
527,electronically doesn't seem like saving
528,Ellen Brian Boyd this first person I
529,else at the festival thought my wife was
530,else penguins got a huge list
531,embarrassed by it but boy it's it's it's
532,embroidered me a little sample that I
533,end of he has now line one stands at two
534,end of this electronic tether so you
535,Englishwoman so and she was sort of
536,enjoying anatomy melancholy
537,envelope with a letter it's it's much
538,envisioned it when I retire permanent
539,especially in graduate classes
540,especially in things like that are the
541,especially like to move all that all
542,Eurovision do they play a role not a
543,even attainable career goal I was a I
544,even before that I had some other kind
545,even evenly stacked is pretty much the
546,eventually I began to see that and I
547,ever heard use that term but they are no
548,ever since and that's when I really
549,every page is dated
550,every place you know every place in the
551,every time I came out here I just plug
552,everybody else said is the best thing
553,everybody hopes that they might write
554,everything back down and for a long time
555,everything from the hard drive of the
556,everything you want to cover okay we
557,everywhere else I was and then wound up
558,exact I thought I had it exactly the way
559,except by academics as as they once
560,except that it is you sort of hear the
561,exercising syllables are adding
562,exhaust those things or nothing in the
563,exist is he yes well through tenure yeah
564,experiences like that I mean I I'm
565,exposure but did you have like letters
566,extended six months and and bingo I was
567,extent but of people who would do that
568,external hard drive where backed up
569,extraneous seemingly
570,extraneous to bring into the pump so I
571,extremely helpful are you talking a
572,fact that it appeared in print in one
573,famous I mean II edited Eat Pray Love uh
574,fantastic
575,far across the page whereas I could tell
576,far before I began what I felt was in
577,fashions because I love going back I can
578,fatty
579,favorite has been like 400 lines that's
580,feel like it's done
581,few months was waylaid by poetry I
582,few more questions I want to talk a
583,fifteenth of October 19 2013 and it's
584,file or my personal real email so I save
585,fill and then it go
586,final draft that's just the final poem
587,finally yeah that's how I'm keep that
588,find a way out of and now you know
589,find out all of whom one of them Henry
590,find the poems under a certain title and
591,finding a that way of moving to calm
592,finding ways to to maintain a kind of
593,finish it off somehow it rhymes and it's
594,first book manuscript that penguin
595,first book which Copper Canyon published
596,first draft in this formuoli dress in
597,first incidence of saying I get this
598,first started trying to compose or do
599,focused on computers in saving and it's
600,follow-up email that tried to bind the
601,foot tall anyway but he didn't want to
602,for 22 years that was not a great job
603,for a poet because the teaching load was
604,for a word a title of phrase anything
605,for a year and applied for jobs as close
606,for a year and the graduate students
607,for for for a long time and then somehow
608,for it and then they can have all the
609,for me and I'm not in any hurry to know
610,for me I mean my first three books for
611,for me which they offered me and I
612,for poems and I always want to say what
613,for sure - lovely it's like you made she
614,forest fire burns through there gone to
615,forget a particularly great letter
616,forth and I was able to send them the
617,fortunately I don't think that would
618,forty some odd emails from a lot of
619,found that that I couldn't rely on that
620,four Americans there and I said I know
621,France and date supermodels it seems
622,frequently several different ones so how
623,Friday that's when I write and so I get
624,friend from a prose manuscript so that I
625,friends and sent home well yeah and as
626,friends that I will send poems to on
627,fries gave all her students one of those
628,from complete strangers I got another
629,from Italy and Italy England I'll just
630,from Montana and this was a gift from
631,from the Army in 1971 got drafted went
632,from the handwritten text to the to the
633,from the hard drive just get rid of them
634,from words or phrases or images or
635,front of the are the ones that I'm that
636,frustration yeah you know this is
637,fuck probably fine you are you're going
638,fundamental way I'm looking for clarity
639,gave a reading in a Writers Conference
640,general and how that's changed over the
641,general or enemy certainly sound figures
642,general overview where he were right
643,generally and I've got it kind of broken
644,generative
645,gesture than the email is yeah I kind of
646,get halfway into it or I'll get 13 lines
647,get her to apply to go to the castle at
648,get means like I know before the
649,get the idea how did you pre write if
650,gets me started
651,getting out into the what else you call
652,gift and get in the way but I'm not I'm
653,give Zoo well we're not going to make
654,go back 25 years and pull out a notebook
655,go back in and pull them out I mean it
656,go back mainly because I'm having it
657,go but you might want to consider just
658,go to work on it and then so that the
659,goes in the box so I try to try not to
660,goes into the computer is the kind of
661,going back there how where were you we
662,going on to the year and you know it's
663,going to be when I have this sort of
664,going to change publishers when I second
665,going to happen yeah so alright good guy
666,going to pay me anything from my
667,going to to find a way to connect with
668,going to work what it's going to revolve
669,gone basically because I hear a
670,gonna get ya let me see here okay this
671,good in letters too as well as in poems
672,good luck I mean I think it'd be really
673,got it's got metal in here ooh this
674,got like a job and stuff too
675,got stuff in the cloud and I got stuff
676,got that I'd have to plug it into it it
677,got the poems now I can read them
678,got the study with Madeleine DeFries
679,got to be a combination of the two even
680,got to have something okay
681,got to ship them all
682,granites
683,great and did the BBC interview and did
684,great break it into a different number
685,great opportunity penguin wants to
686,great pedagogical tool that way um hey
687,guess doing the best I can and if we
688,guess what sort of mode is your revision
689,guys I think I've exhausted it Oh unless
690,had a whole lot of use for poetry I took
691,had been published in magazines say and
692,had done such good work it's kind of
693,had this 3/4 terabyte hard drive that
694,had to scrounge around for a pen to sign
695,handwriting became something I did that
696,handwritten page numbers on it when I
697,happened although the first film I ever
698,happened first but I got to working on
699,happens to be handwritten and old
700,harbor but I've never come and you can
701,hard can it be doesn't have to go very
702,hard copy somehow and and look at them
703,hard drive back when I had a PC I had an
704,hard so I had to do a lot of penciling
705,harddrive I think I nearly filled it up
706,has been entirely electronic all these
707,has changed over the course of years
708,hasn't worked that way for me that was
709,hate to revise it's like hating writing
710,have a couple of I have a couple of
711,have a good sense of your writing
712,have a we have a hot tub Oh which is one
713,have a year on them or a period of years
714,have anything occurs for most of it yeah
715,have done it probably I would have done
716,have I mean I've got like exactly
717,have not but did you have any
718,have something called the rule of the
719,have the thing I thought was best about
720,have this tray down here this wooden
721,have to do with the frost it'll have to
722,have to love to revise because that's
723,have to plug it into a PC somewhere
724,have what we'll see see how because it
725,have you been writing in this spot I
726,having that poem broken into turrets
727,Hawthorn and Rachelle has been there oh
728,he he's TC Boyle's editor Paul slovic
729,he never really had the belly for the
730,he says and then they send me a contract
731,helped me see that you just said no
732,her but you know knopf insisted you got
733,her students I mean she was doing it
734,her the NSA must have a file five feet
735,here he wants to move copies in because
736,here just did that look at it go
737,here since then basically in the same
738,here this
739,he's a prose writer though they lose
740,he's not going to tell you I got
741,hilarious because he's very funny
742,hired here I published dragon snakes
743,his brother Jesus Christ who was born
744,his widow so it's what I put on whatever
745,hole great great no this is here we have
746,honey there's a big question mark but
747,hornet's nest about the so around up in
748,hours just just kind of messing around
749,how does that sort of change your
750,how I could have done without the
751,how that came about
752,how this come take me seriously well I
753,how this goes into a book and everything
754,how to get going I know how to get out
755,however one pronounces that I can never
756,Hugo would say is needs to you need to
757,hundred lines at a time and I got to go
758,hundred lines long in barely drafts and
759,hundred some-odd lines long this
760,hurry yeah although Random House is now
761,I at some point this winter I need to
762,I buy I think I may be part of the
763,I can promise to have this book
764,I can't guarantee that I won't be boring
765,I come out here um well I'm one to talk
766,I convinced them that I should have a
767,I could I could immediately just look at
768,I decide that that's done then again it
769,I did I think however when I when I
770,I did I was interviewed by a young woman
771,I did the selected poems both here and
772,I didn't finish this one what slips it
773,I didn't have much luck I didn't have
774,I do and I miss let's see I got that's a
775,I do I have I have this which is sort of
776,I don't I don't I don't have that kind
777,I don't know it's something that I
778,I don't organize them but I look for
779,I find something in this batch before it
780,I got to start on what I'm working on
781,I got ya I got sort of I got sort of
782,I guess we sort of talked about this but
783,I had a Poetry Festival which was
784,I had I had an IBM Selectric I guess
785,I had this one poem which was actually
786,I hate using the word idea though
787,I have this weekend writer-in-residence
788,I hope you can hear that insult yeah
789,I kind of like something about them all
790,I knew something was missing but I
791,I love Dryden I love Pope but I can only
792,I mean I'd every time I get through a
793,I mean people ask me now are you working
794,I mean you know you it was you were what
795,I need to I need to develop that spot I
796,I need you to put in or I've taken out
797,I sent it to Dorian and Henry and Phil
798,I think extraordinary is a big bug
799,I think I mean it changes in a sort of I
800,I think I said the me mail so it every
801,I think I was I'm less concerned with
802,I think it fell down was an enormous
803,I think it's good I'm on sabbatical
804,I think it's one of the reasons that
805,I think much to their detriment both on
806,I think so it's I mean I did I don't I
807,I think that I discovered or realized
808,I think that was one of the interesting
809,I think the Brits appreciated that too
810,I think there was one huge sort of shift
811,I want to I want to say to those things
812,I want to use the word organic here was
813,I wanted it but the first poem in the
814,I when I finished it I knew what I
815,I wondered about well what am I missing
816,I wrote a lot of letters letters were
817,I wrote that that book and that was the
818,I'd like to deliver in spring 2012 okay
819,I'd never wanted him to hear me say that
820,I'd play Dylan Thomas on on the sand I
821,idea
822,idea of being able to communicate
823,idea what book it is I'm reaching for
824,ideas where because they tend not to
825,idiot let me find it
826,idiotic right
827,if I had them organized in some way but
828,if I missed anything that there's some
829,if you got any time between 2:00 and
830,if you when do you consider a piece of
831,ignorant of me there are prose poems I
832,I'll be fine
833,I'll do this on on computer yeah this
834,I'll fiddle with
835,I'll just have an asterisk and seven
836,I'll sit down I'll spend the first two
837,I'll start from that it's great great
838,Illinois press and I had this kind of
839,I'm aligned around that and I'm not
840,I'm dealing with the thing in the
841,I'm in no way thought two years ago
842,I'm just I'm not going to mess with it
843,I'm not interested I'd rather write
844,I'm not interested in in paper anymore
845,I'm not really interested in reading
846,I'm not there I'm not going there I
847,I'm serious about this debt enhancement
848,image occurs to me or a phrase where I
849,imagination of language can convert what
850,immediately make a tenure-track position
851,impatient with the sort of the the
852,important a wonderful poet on a couple
853,important I don't know that that's
854,important to me in terms of of the craft
855,important whereas in in the notebook you
856,in 1979 was my MFA thesis basically and
857,in a couple of poems that correspond
858,in a line I want to make that sound
859,in all your all your poems are in one
860,in an envelope and a delivery date and I
861,in Boise and as always well I I don't
862,in in reading and sharing what I'm
863,in journals yeah quite a few more
864,in London for a couple of days which was
865,in love with living in this part of the
866,in mozi so I feel pretty sanguine about
867,in my little studio building which is
868,in Reverse maybe you know in Montana and
869,in Scotland who asked me if I could talk
870,in some way just that much more
871,in somewhere in those many boxes in the
872,in the first sort of stages of the
873,in the published book in the last poem
874,in the published book used to the first
875,in the UK I made some changes not big
876,in there probably an inch and a half
877,in this corner it's a black funnel
878,in this space so so here's this sort of
879,in your writing process you see over the
880,inches tall he was not that tall
881,incredibly wonderful but you can only go
882,incrementally and syllables not that the
883,indication or I'm going to be kind with
884,individual poems here I have batches of
885,individual poems work how this
886,information retrieval system it just
887,inland or I had another check very
888,inside Bennett at U of I
889,inspire but they seem that way to me now
890,instead of quatrains and that was so
891,intensely meditative poem that I wrote I
892,interest me something eventually is
893,interested in in that particular thing
894,interested in poems that can be sent to
895,interested in pulling things out okay
896,interested in that image to the poem
897,interesting because it was put on the
898,interesting conversation so she's doing
899,interesting to to know if this
900,internet play roles you like is that
901,intimate and that and I suppose or it
902,into it I mean that basically also I'll
903,into manipulating syntax to keep the
904,into one and I'll feel sort of
905,into storage in the in the basement
906,into the class and I got absolutely
907,into the notebooks which I do with some
908,into three portions one being kind of
909,invariably correct oh yeah you're right
910,is a so compute shortest imputed it had
911,is asana the as it stands now which
912,is definitely some of the questions um
913,is is suited to poetry and not so much
914,is kind of coming some other reading but
915,is more specifically about computers and
916,is something much more than that
917,is sort of an interesting thing to have
918,is supposed to have some sort of little
919,is the computer I have one laptop that's
920,is then I've been considering it right
921,is there an intention behind the
922,is very friendly to me and they're
923,is virtue because it is and and I'm and
924,is what I'm saying I couldn't just leave
925,isn't as a tool so I don't tend to to do
926,issue with oh wow you had a Lincoln
927,it allows you to dispense words
928,it and find it just the way you left it
929,it and then and Rodney Jones that
930,it as it can have maybe as many possible
931,it backed up all my photographs as well
932,it but it would have been a much more
933,it call Exxon and I got a hundred and
934,it can be 20 or 30 or 50 lines if it's
935,it didn't hurt to just kill the the
936,it different now that you kind of know
937,it doesn't have to rhyme anymore you
938,it has and can will continue so I don't
939,it I guess it okay the more the more
940,it in and it was on automatic backup and
941,it is I see into some kind of a phrase
942,it may be that eventually I'll get to a
943,it might be an illusion but I don't
944,it more organic when you just kind of
945,it no no I know what you mean although I
946,it off and then set it off into the
947,it on the screen go back to longhand and
948,it one two three four five six seven
949,it the marketplace the literary world he
950,it was fine that was great but then the
951,it was I've still got the other I've
952,it was read Keys North American sequence
953,it was very cool I have been really
954,it was with the typewriter even before
955,it were ah I didn't realize it but I
956,it whatever is I mean it sort I guess
957,it when you have those deadlines is it
958,it you know and then back in the back
959,it'll be great they'll be in figuring
960,it'll be this big so I can't I don't
961,it's a pretty good deal but it you know
962,it's a structural unit but then I
963,it's a vastly more elusive book too than
964,it's all that's the way I look at it so
965,it's been great having her I thought she
966,it's called earthquake light let's see
967,its evocative to me now you know I'm
968,it's from that point on I have not had
969,it's in beautiful country shit what does
970,it's it's a pretty it's a pretty good
971,it's it's hard yeah and I write a lot
972,it's it's sort of a big shift because
973,it's just a whole lot of files some of
974,it's just something about the color will
975,it's more you know the interaction of
976,it's not easy and it's a failed epic god
977,it's not if it's when yeah and it hasn't
978,it's pronounced all bro
979,it's so easy to drag-and-drop to cut and
980,it's such an easy distraction on the
981,it's surprising because in some ways
982,it's the same number of lines I can
983,it's which is not not possible but I did
984,I've added two more lines we need you to
985,I've been doing all I have to say okay
986,I've been recording like me I did I did
987,I've enjoyed many halls but let that one
988,I've got a file on one of my two email
989,I've got I probably have a hundred
990,I've got I think in sort of most
991,I've got I've got a few people who are
992,I've just been lucky enough that it
993,I've known Billy for a long time too but
994,I've never had to order these online now
995,I've not done six books yeah and my one
996,I've operated it's gotten complicated
997,Jack and most recently I sent a batch to
998,job came along I I snapped it up hey
999,John Haynes and probably most famously
1000,July or August or September or October
1001,just a sort of glorified typewriter with
1002,just I keep doing what I do and if
1003,just kidding I know twice just stop
1004,just like if I should want to which I
1005,just listen to him say this gorgeous
1006,just start putting words on paper it'll
1007,just started writing them down yeah and
1008,just that was terrific then went to lobs
1009,just to keep the old hard drive from
1010,just to see this 12 pound marble book
1011,just yeah ignited electronically no
1012,keep reading theoretically at least I've
