start,end,line
0:03:00.519,0:03:05.07,me to come back okay ah I can fix it

0:03:05.850,0:03:14.56,okay so we'll get started so I have sort

0:03:13.150,0:03:15.67,of like a couple different sections of

0:03:14.560,0:03:18.31,interview questions that I'm going to

0:03:15.670,0:03:20.56,ask the first are based on a survey that

0:03:18.310,0:03:22.66,I did of other kind of more emerging

0:03:20.560,0:03:25.12,writers about their kind of digital

0:03:22.660,0:03:26.59,practices generally and so that's more

0:03:25.120,0:03:28.45,of kind of little be kind of we'll go

0:03:26.590,0:03:31.00,through it somewhat quickly and then

0:03:28.450,0:03:32.62,I'll ask you about your sort of practice

0:03:31.000,0:03:33.70,generally and how that's changed and

0:03:32.620,0:03:35.47,then I'll ask you a little bit about

0:03:33.700,0:03:38.19,your computer more about your computer

0:03:35.470,0:03:40.45,use and then about teaching

0:03:38.190,0:03:43.66,correspondence and in the photos I've

0:03:40.450,0:03:44.65,seen is that how you pronounce them yeah

0:03:43.660,0:03:48.51,that's good

0:03:44.650,0:03:52.03,um so so yeah is that something would

0:03:48.519,0:03:53.43,you give it so if you would please state

0:03:52.030,0:03:57.09,for the camera your name your date of

0:03:53.439,0:04:02.70,birth and where we are okay I'm now Van

0:03:57.099,0:04:05.89,Winkle and I'm born October 24 1951 and

0:04:02.709,0:04:08.82,we're in Liberty Lake Washington and

0:04:05.890,0:04:11.29,you've been living here for I've been in

0:04:08.829,0:04:13.75,the Spokane area since 199,
0:04:11.290,0:04:19.20,okay but my husband I just moved out

0:04:13.750,0:04:21.84,here this little condo in O seven the

0:04:19.209,0:04:24.49,other ways it's beautiful you'd like

0:04:21.840,0:04:26.65,okay so here you're sort of a sort of

0:04:24.490,0:04:28.90,digital in and physical sort of quick

0:04:26.650,0:04:32.56,questions but so what genre is do you

0:04:28.900,0:04:36.49,work in the writer poetry primarily but

0:04:32.560,0:04:38.50,also I write your stories what kinds of

0:04:36.490,0:04:45.00,devices do you own or have access to for

0:04:38.500,0:04:48.28,writing um well for writing electronic

0:04:45.009,0:04:52.12,devices yeah yeah that's okay yeah I I

0:04:48.280,0:04:55.18,work on three different computers this

0:04:52.120,0:04:58.27,big iMac here that I use and then I have

0:04:55.180,0:05:01.18,a laptop map Mac and then I also have an

0:04:58.270,0:05:05.16,iPad okay are you right on the other I

0:05:01.180,0:05:07.84,have a keyboard oh extension for it and

0:05:05.169,0:05:12.09,what uh what what like program you used

0:05:07.840,0:05:16.38,to write in fact I use pages on that be

0:05:12.090,0:05:19.03,okay and then I move it when i IE mail

0:05:16.389,0:05:23.83,it to myself and then I move it into

0:05:19.030,0:05:25.90,word okay now use that when I'm on the

0:05:23.830,0:05:28.44,road when you're on the road iPad and

0:05:25.900,0:05:29.80,yeah and you're on the road quite a bit

0:05:28.449,0:05:31.44,when I go to Vermont

0:05:29.800,0:05:33.28,oh hold on you go to Vermont when I'm

0:05:31.449,0:05:34.96,doing any kind of traveling you don't

0:05:33.280,0:05:37.15,travel with the laptop discovery right

0:05:34.960,0:05:39.22,yeah I don't really take the laptop with

0:05:37.150,0:05:42.81,me I have an older laptop and it's those

0:05:39.220,0:05:45.41,pretty heavy yes they are

0:05:42.810,0:05:48.88,okay so you haven't two three devices

0:05:45.419,0:05:51.93,and you use your Mac user program yeah I

0:05:48.880,0:05:56.13,have I'm clueless with the PC Louis okay

0:05:51.930,0:05:57.63,and your primary so what would you call

0:05:56.139,0:05:58.61,one of these devices your primary device

0:05:57.639,0:06:03.43,this one

0:05:58.610,0:06:04.66,got it mm-hm and then so how do you any

0:06:03.439,0:06:07.06,sort of set this but how do you manage

0:06:04.669,0:06:13.33,your files between the devices you email

0:06:07.069,0:06:17.36,them to yourself you know put the iPad I

0:06:13.330,0:06:18.40,email files to myself do I do it any

0:06:17.360,0:06:22.72,other way

0:06:18.400,0:06:25.03,with the laptop I have put things on a

0:06:22.729,0:06:28.43,memory stick and move things back and

0:06:25.039,0:06:31.72,forth that way when I have to give a

0:06:28.430,0:06:34.06,presentation in Vermont and I have been

0:06:31.729,0:06:38.71,doing a lot of PowerPoint things lately

0:06:34.069,0:06:41.84,with art text and art yeah I I'll bring

0:06:38.719,0:06:44.62,up and then we stick and use the set up

0:06:41.840,0:06:47.30,if they have it to college there and all

0:06:44.629,0:06:50.25,good snacks and a good tech person who

0:06:47.300,0:06:55.03,photos have to get it set up yeah

0:06:50.259,0:06:57.34,so you so for your work to you right now

0:06:55.039,0:06:58.58,are you working exclusively on computers

0:06:57.349,0:07:00.61,or do you kind of go between the

0:06:58.580,0:07:06.71,physical and digital environments at all

0:07:00.610,0:07:09.37,highs work in longhand okay on yellow

0:07:06.710,0:07:12.50,legal tablets or just whatever I have

0:07:09.379,0:07:15.11,different notebooks that I have that's

0:07:12.500,0:07:18.71,what all these no people are here are my

0:07:15.110,0:07:23.02,various writing projects in process they

0:07:18.710,0:07:29.15,each get their own little notebook and I

0:07:23.029,0:07:32.83,work longhand for gosh I don't know at

0:07:29.150,0:07:37.75,least three or four more drafts okay at

0:07:32.839,0:07:40.03,least sometimes more like 10 or 12 it

0:07:37.759,0:07:43.84,just depends some things give me more

0:07:40.039,0:07:45.97,than others before I will type something

0:07:43.849,0:07:47.75,all right and I we're going to come back

0:07:45.979,0:07:50.00,to that okay how do you what's the

0:07:47.750,0:07:52.31,transition from notebook into digital

0:07:50.000,0:07:55.03,what else you type it out yourself yeah

0:07:52.310,0:07:57.56,yeah and is that is that a moment of

0:07:55.039,0:08:06.52,revision for you usually yeah okay yeah

0:07:57.560,0:08:09.52,okay and and then I'll probably revise

0:08:06.529,0:08:11.47,then once I get it into a document and

0:08:09.529,0:08:12.65,I'll probably revise it yeah

0:08:11.479,0:08:16.04,again a number

0:08:12.650,0:08:18.91,time okay and I you know I'm doing

0:08:16.040,0:08:20.21,different no revision operations me

0:08:18.919,0:08:21.88,we're going to go we're definitely going

0:08:20.210,0:08:23.60,to talk about occasion warned outside I

0:08:21.889,0:08:27.02,just yeah this is the sort of life

0:08:23.600,0:08:30.59,lol thing with over hell yeah Seward's

0:08:27.020,0:08:32.87,okay and then so these are the questions

0:08:30.590,0:08:36.11,of professionally I'm interested in so

0:08:32.870,0:08:37.64,how do you then save these notebooks and

0:08:36.110,0:08:40.15,your prewriting and all that I mean is

0:08:37.640,0:08:44.08,there a you just keep them in a box

0:08:40.159,0:08:46.73,somewhere or this is they this is this

0:08:44.089,0:08:48.50,like your older one yeah I have

0:08:46.730,0:08:50.00,described they're all down there on a

0:08:48.500,0:08:53.27,shelf all down there on the show yeah

0:08:50.000,0:08:55.85,okay okay and then in your your actual

0:08:53.270,0:08:59.66,digital files how do you save those you

0:08:55.850,0:09:01.95,save them just as Word docs um yeah I

0:08:59.660,0:09:04.37,save miss Word docs and then when I'm

0:09:01.959,0:09:08.15,done with them you know when the books

0:09:04.370,0:09:10.07,are published then I I just put them on

0:09:08.150,0:09:13.91,our backup disk and take them off my

0:09:10.070,0:09:17.52,book with my hard drive here do you

0:09:13.910,0:09:17.52,print out your writing to provide you

0:09:18.580,0:09:24.50,often when it gets to the computer stage

0:09:22.370,0:09:27.26,yeah not so much

0:09:24.500,0:09:32.39,okay I'm just looking on the screen and

0:09:27.260,0:09:34.16,for quite a while so then and in this

0:09:32.390,0:09:36.14,sort of last section of this is how do

0:09:34.160,0:09:37.25,you back up your work and you say like

0:09:36.140,0:09:39.56,when you're finished with something you

0:09:37.250,0:09:41.45,put it on a external hard drive yes is

0:09:39.560,0:09:44.48,that your time digital archival backups

0:09:41.450,0:09:46.79,right okay and you don't use any

0:09:44.480,0:09:50.72,cloud-based systems like a Dropbox or I

0:09:46.790,0:09:53.27,arrived yeah I do use Dropbox uh-huh but

0:09:50.720,0:09:55.73,not really so much for backup but to

0:09:53.270,0:09:57.77,send things to people to send days and

0:09:55.730,0:10:00.68,sheraton yeah

0:09:57.770,0:10:08.12,our files saved in more than one

0:10:00.680,0:10:13.27,location then um well I have I do have a

0:10:08.120,0:10:15.52,backup Drive and okay so on the hard

0:10:13.279,0:10:19.45,drive hi pewter yeah I had in the back

0:10:15.529,0:10:23.06,okay yeah well you keep print copies of

0:10:19.459,0:10:24.47,your final dress or oh yeah okay so that

0:10:23.060,0:10:26.55,you have like a paper archive as well

0:10:24.470,0:10:28.87,yes okay

0:10:26.550,0:10:31.60,how do you keep what do you do how do

0:10:28.870,0:10:33.46,you keep that just in boxes like the

0:10:31.600,0:10:37.96,notebooks kind over yeah they're usually

0:10:33.460,0:10:40.15,with the notebooks are yeah I just once

0:10:37.960,0:10:43.15,I'd print them out I do some final kind

0:10:40.150,0:10:45.19,of tinkering usually like the galleys

0:10:43.150,0:10:46.42,and everything and I'll keep a copy of

0:10:45.190,0:10:49.57,the galleys when the book is actually

0:10:46.420,0:10:53.01,coming out and that gets filed with the

0:10:49.570,0:10:55.99,notebooks then when I'm done with it and

0:10:53.010,0:10:57.64,then the sort of over business and the

0:10:55.990,0:10:59.92,question for me personally am the

0:10:57.640,0:11:02.32,librarian said have you ever received or

0:10:59.920,0:11:04.66,sought out information about methods for

0:11:02.320,0:11:06.76,digital archiving activity for like best

0:11:04.660,0:11:07.81,practices no okay

0:11:06.760,0:11:11.26,and when you'd be interested in

0:11:07.810,0:11:13.14,information about that or you know maybe

0:11:11.260,0:11:17.05,I was thinking about that the other day

0:11:13.140,0:11:21.04,a couple of I was thinking about making

0:11:17.050,0:11:24.85,of a book of selected stories from my

0:11:21.040,0:11:28.36,for books Astoria and realizing that my

0:11:24.850,0:11:31.36,first two books of stories I don't know

0:11:28.360,0:11:34.71,if I can access the computer files of

0:11:31.360,0:11:38.91,them anymore they're they're like on Oh

0:11:34.710,0:11:42.85,floppy disk or zip discorso changes and

0:11:38.910,0:11:44.56,I just I don't know if I could yeah you

0:11:42.850,0:11:47.32,know does that mean I'm going to have to

0:11:44.560,0:11:51.82,retype those suckers or are you usually

0:11:47.320,0:11:55.15,like yeah if I could even find them yeah

0:11:51.820,0:11:59.05,yes yeah there's that because you know

0:11:55.150,0:12:02.01,when we moved out here yeah so that

0:11:59.050,0:12:05.14,would be a major task to locate and

0:12:02.010,0:12:07.00,write so I could probably use some help

0:12:05.140,0:12:08.44,with that okay yeah I know that's and

0:12:07.000,0:12:10.78,that's definitely something that you

0:12:08.440,0:12:12.64,know that that kind of period especially

0:12:10.780,0:12:14.38,the 90s if it's all the different we're

0:12:12.640,0:12:16.36,probably a player and then all the

0:12:14.380,0:12:21.46,different ways of saving them right put

0:12:16.360,0:12:23.50,people in yeah when you do okay so that

0:12:21.460,0:12:24.79,was sort of the quick okay quick

0:12:23.500,0:12:27.21,beginning I'm just going to check this

0:12:24.790,0:12:27.21,is make sure

0:13:00.500,0:13:06.56,okay um that's working so we'll do a set

0:13:04.420,0:13:07.76,so this is going to be more about the

0:13:06.560,0:13:10.82,kind of overview of your writing

0:13:07.760,0:13:12.47,practices and generally and so the sort

0:13:10.820,0:13:14.30,of first couple questions are just sort

0:13:12.470,0:13:15.46,of broad and anything elaborate as much

0:13:14.300,0:13:17.93,there were as little as you'd like but

0:13:15.460,0:13:21.26,so how long have you been writing in a

0:13:17.930,0:13:24.23,more professional capacity and like in a

0:13:21.260,0:13:27.20,way that would sort of I don't know

0:13:24.230,0:13:29.00,feeding you or giving you some sort of I

0:13:27.200,0:13:30.41,mean even even if I can MFA might be a

0:13:29.000,0:13:32.48,kind of professional sort of like when

0:13:30.410,0:13:35.14,you think you started writing kind of

0:13:32.480,0:13:37.55,distant as years as your vocation

0:13:35.140,0:13:39.35,whereas something that led to something

0:13:37.550,0:13:44.72,that would be your vocation describe

0:13:39.350,0:13:48.92,teaching yeah no I I guess since

0:13:44.720,0:13:52.37,graduate school I went to graduate

0:13:48.920,0:13:55.28,school and I thought I would just do

0:13:52.370,0:13:57.08,that for a year that was my plan I would

0:13:55.280,0:13:59.75,go to graduate school and creative

0:13:57.080,0:14:02.30,writing for a year and then I would go

0:13:59.750,0:14:06.89,to medical school I had been a pre-med

0:14:02.300,0:14:09.94,major after college but when I got to

0:14:06.890,0:14:12.47,grad school I was just probably happy

0:14:09.940,0:14:16.04,doing my writing thing and I just I

0:14:12.470,0:14:18.98,never looked back so I just I worked I

0:14:16.040,0:14:21.38,started my so-called practice there

0:14:18.980,0:14:28.37,where I worked every day on my writing

0:14:21.380,0:14:30.38,and roof that was 1975 where was it I

0:14:28.370,0:14:32.81,went to the University Denver University

0:14:30.380,0:14:35.39,Denver I mean was that it one year

0:14:32.810,0:14:39.29,program yeah no I actually stayed the

0:14:35.390,0:14:41.87,regular two years stay - yeah and got

0:14:39.290,0:14:43.55,your anything and then so my uh my next

0:14:41.870,0:14:44.69,question is sort of like I'm interested

0:14:43.550,0:14:46.76,in kind of like how you would describe

0:14:44.690,0:14:48.50,the arc of your career like where you

0:14:46.760,0:14:51.44,went from there and just kind of a

0:14:48.500,0:14:52.76,general okay elaborate or as elaborate

0:14:51.440,0:14:56.84,as you want to be sort of background

0:14:52.760,0:14:59.39,there yeah and from there I taught for I

0:14:56.840,0:15:02.96,got my first teaching job at Marymount

0:14:59.390,0:15:04.97,College of Kansas now defunct okay

0:15:02.960,0:15:07.78,so I taught there for three years and

0:15:04.970,0:15:11.18,then I got a job at Lake Forest College

0:15:07.780,0:15:12.71,just north of Chicago and I cut there

0:15:11.180,0:15:17.06,for eleven years

0:15:12.710,0:15:19.22,and then I came out here in 1990 oh and

0:15:17.060,0:15:22.22,I've been here ever since and you can

0:15:19.220,0:15:25.61,you retired yeah I retired from Eastern

0:15:22.220,0:15:32.14,and oh seven okay but you're continuing

0:15:25.610,0:15:34.39,to teach and at Fermont College so so

0:15:32.149,0:15:36.62,now we're going to get kind of we've

0:15:34.399,0:15:38.24,always been nervous get to the kind of

0:15:36.620,0:15:39.77,specific writing practices sort of

0:15:38.240,0:15:41.69,generally and I have it kind of

0:15:39.770,0:15:44.42,delineated into kind of three stages a

0:15:41.690,0:15:47.18,sort of drafting prewriting notebook

0:15:44.420,0:15:49.60,stage and then a revision stage and then

0:15:47.180,0:15:52.70,a kind of organizational archival stages

0:15:49.600,0:15:54.47,and what I'd like to do is sort of go

0:15:52.700,0:15:55.97,stage by stage and ask you about kind of

0:15:54.470,0:15:58.37,your practices in the beginning and how

0:15:55.970,0:15:59.93,those have changed for each stage but if

0:15:58.370,0:16:02.08,that doesn't make sense to you we can do

0:15:59.930,0:16:05.24,it a different no I said that makes it

0:16:02.089,0:16:08.42,okay so uh I guess I'm I would like to

0:16:05.240,0:16:10.45,first start talking about sort of ways

0:16:08.420,0:16:14.75,you you draft and create your work

0:16:10.459,0:16:16.57,initially so what is your sort of

0:16:14.750,0:16:18.95,typical compositional practice

0:16:16.570,0:16:20.15,especially when you and I'm interested

0:16:18.950,0:16:21.92,right now and kind of like when you

0:16:20.150,0:16:25.49,first started writing how are you

0:16:21.920,0:16:35.24,generating and composing your writing at

0:16:25.490,0:16:39.08,that point so yeah early on I one of the

0:16:35.240,0:16:40.70,things that's different now it has been

0:16:39.080,0:16:46.82,for a long time early on I was probably

0:16:40.700,0:16:49.40,just work on a poem so I would you know

0:16:46.820,0:16:52.88,right I would have a page in my notebook

0:16:49.400,0:16:55.97,or whatever what's the blinds and move

0:16:52.880,0:16:57.62,things around on the page and then I

0:16:55.970,0:17:01.01,would have a another page in the book

0:16:57.620,0:17:05.63,with a different poem but over the years

0:17:01.010,0:17:09.70,I started working on maybe two or three

0:17:05.630,0:17:13.73,palms almost kind of simultaneously on

0:17:09.709,0:17:19.06,the same page which feels kind of nutty

0:17:13.730,0:17:21.16,but I was what I was experiencing that

0:17:19.069,0:17:25.98,kind of led me this way was that a lot

0:17:21.169,0:17:29.94,of times things would be coming to me

0:17:25.980,0:17:31.83,images lines that didn't seem to belong

0:17:29.940,0:17:35.58,to the poem I thought I was working on

0:17:31.830,0:17:40.35,and so I realized that it might be

0:17:35.580,0:17:43.08,helpful to us to not confine myself so

0:17:40.350,0:17:46.35,that's why that was one of the sort of

0:17:43.080,0:17:48.78,main transitions that I've noticed in my

0:17:46.350,0:17:51.96,I think that happened maybe you know

0:17:48.780,0:17:54.39,sort of halfway along okay maybe late

0:17:51.960,0:17:56.73,eighties or so I started experimenting

0:17:54.390,0:17:59.07,with that and I liked it yeah I liked

0:17:56.730,0:18:02.34,having just a page there'd be a poem

0:17:59.070,0:18:04.11,going down one margin and then maybe

0:18:02.340,0:18:06.84,done another margins and across the

0:18:04.110,0:18:10.20,bottom something like that on Island Oh

0:18:06.840,0:18:13.68,on it on one page and then a lot of

0:18:10.200,0:18:17.94,times what would happen is I did I

0:18:13.680,0:18:20.73,didn't like one or two or all three of

0:18:17.940,0:18:22.86,them and eventually maybe just one of

0:18:20.730,0:18:25.89,those poems would kind of gel and then

0:18:22.860,0:18:30.66,get it's all fake okay well I found out

0:18:25.890,0:18:32.76,in the notebook yeah okay and and that

0:18:30.660,0:18:34.38,and then so is that could you put that

0:18:32.760,0:18:39.48,in a certainty book or was that just

0:18:34.380,0:18:41.16,sort of gradual yeah I think I I really

0:18:39.480,0:18:44.64,started experimenting with that was a

0:18:41.160,0:18:46.11,book called beside ourselves just maybe

0:18:44.640,0:18:49.38,kind of in the middle somewhere there

0:18:46.110,0:18:52.53,yeah yeah that was really awesome maybe

0:18:49.380,0:18:55.02,the first book that was more kind of

0:18:52.530,0:18:57.27,deliberate series but yeah like I think

0:18:55.020,0:19:00.21,I can kinda she's letting I can kind of

0:18:57.270,0:19:03.39,figure out where that happened oh yeah

0:19:00.210,0:19:06.06,kind of like yeah and then I liked I

0:19:03.390,0:19:09.60,liked that I liked looking in series so

0:19:06.060,0:19:12.63,much when I was writing that book that I

0:19:09.600,0:19:14.13,also just decided that I wanted to keep

0:19:12.630,0:19:16.65,moving in that direction

0:19:14.130,0:19:18.93,I liked the series pause okay doing

0:19:16.650,0:19:20.70,those yeah yeah and they maybe learn

0:19:18.930,0:19:23.70,some self more to that kind of practice

0:19:20.700,0:19:25.92,with several palms kind of happening at

0:19:23.700,0:19:29.97,the same time in the early draft stages

0:19:25.920,0:19:34.61,yeah and then how is that different tuna

0:19:29.970,0:19:34.61,from your fiction right uh-huh yeah

0:19:35.210,0:19:41.99,I don't really see a lot of similarities

0:19:39.410,0:19:43.79,between writing stories and writing

0:19:41.990,0:19:48.07,poems in terms of the drafting process

0:19:43.790,0:19:53.06,well in terms of space okay

0:19:48.070,0:19:54.08,stories are really different and one of

0:19:53.060,0:19:55.91,the first things they learn about

0:19:54.080,0:20:00.26,writing stories in the drafting process

0:19:55.910,0:20:03.02,was oh it kind of helps to know a few

0:20:00.260,0:20:05.72,things about what's going to happen in

0:20:03.020,0:20:07.55,this story through not unlike a poem

0:20:05.720,0:20:08.71,where you're kind of launching into the

0:20:07.550,0:20:11.87,unknown

0:20:08.710,0:20:15.77,it seems helpful to have like a few

0:20:11.870,0:20:17.35,scenes in mind you know what some of the

0:20:15.770,0:20:19.97,lines of tension

0:20:17.350,0:20:26.12,storylines kind of have a few things

0:20:19.970,0:20:29.54,yeah almost not an outline but I often

0:20:26.120,0:20:31.13,had would writes down four or five kind

0:20:29.540,0:20:33.98,of sentences that would later become

0:20:31.130,0:20:35.81,scenes and that would be like on one

0:20:33.980,0:20:38.36,page of the notebook notebook or you

0:20:35.810,0:20:41.60,know just to scrap a paper in the car on

0:20:38.360,0:20:42.92,driving okay and yeah then you grab

0:20:41.600,0:20:44.66,those cotton paper and put them in the

0:20:42.920,0:20:46.28,notebook cause it become like does it

0:20:44.660,0:20:49.58,accumulate all your sort all that sort

0:20:46.280,0:20:51.26,of detritus of composition now once I

0:20:49.580,0:20:57.38,write the scene I throw the piece of

0:20:51.260,0:21:00.20,paper right yeah all right but the but

0:20:57.380,0:21:03.17,then I my process in making the stories

0:21:00.200,0:21:06.26,would be I write like I try to write a

0:21:03.170,0:21:10.40,scene a day or so in the initial

0:21:06.260,0:21:12.65,drafting phase and I just try to stay

0:21:10.400,0:21:14.66,with that scene and you know blow out

0:21:12.650,0:21:17.57,the edges often it's like three times as

0:21:14.660,0:21:22.25,long as what's going to actually be in

0:21:17.570,0:21:24.47,the final story okay usually I'm

0:21:22.250,0:21:26.96,compressing compressing compressing but

0:21:24.470,0:21:28.37,initially I just trying to look around

0:21:26.960,0:21:33.38,and see what's happening in the

0:21:28.370,0:21:35.90,periphery and just sort of stain once

0:21:33.380,0:21:37.64,one scene at a time and I don't worry

0:21:35.900,0:21:41.42,about the order I'm not writing the

0:21:37.640,0:21:43.16,first scene first I often write start

0:21:41.420,0:21:45.59,with the middle scene in fact I kind

0:21:43.160,0:21:47.46,know I'm writing the middle scene and

0:21:45.590,0:21:51.69,then I just I move

0:21:47.460,0:21:54.12,in the chronology of the story I because

0:21:51.690,0:21:55.98,I you know I have my little list and

0:21:54.120,0:21:57.57,often when I'm working on one scene I'll

0:21:55.980,0:21:59.13,think of another sin and I just write it

0:21:57.570,0:22:02.28,on another piece of paper like just

0:21:59.130,0:22:05.07,again a sentence settles kind of comment

0:22:02.280,0:22:08.82,yeah so I don't forget Oh what's up see

0:22:05.070,0:22:11.28,on this but so it's they're very the

0:22:08.820,0:22:13.80,process is really different it takes me

0:22:11.280,0:22:16.53,I like when a story is happening when

0:22:13.800,0:22:18.48,I'm getting that early draft comes

0:22:16.530,0:22:23.61,really fast I hate it I hate it I hate

0:22:18.480,0:22:26.55,it because it takes all my time I have

0:22:23.610,0:22:29.41,been known to cancel classes I'm sick

0:22:26.550,0:22:32.24,today sorry I can't come in today

0:22:29.410,0:22:35.61,[Laughter]

0:22:32.240,0:22:37.74,because I feel like I'm going to lose it

0:22:35.610,0:22:40.08,okay so I when you said it it's

0:22:37.740,0:22:42.00,happening it feels like like it's come

0:22:40.080,0:22:43.49,to you it's like I mean it's not like an

0:22:42.000,0:22:48.42,inspiration but it's just like

0:22:43.490,0:22:50.94,accumulation or so much is going on you

0:22:48.420,0:22:53.10,know I go out and I take a walk every

0:22:50.940,0:22:54.72,afternoon this apartment we actually

0:22:53.100,0:22:58.92,part my writing process to take a walk

0:22:54.720,0:23:01.86,in the afternoon and shut up I'm just

0:22:58.920,0:23:06.90,trying to walk the people are talking in

0:23:01.860,0:23:09.27,my head and so it's just it feels like

0:23:06.900,0:23:11.31,it's just kind of sits over powering

0:23:09.270,0:23:14.91,saying when I'm working on a story it

0:23:11.310,0:23:16.89,just comes over me and it wakes me up in

0:23:14.910,0:23:19.74,the morning people wake me up in the

0:23:16.890,0:23:22.37,morning they are chattering away is it

0:23:19.740,0:23:27.75,it's very unnerving

0:23:22.370,0:23:30.75,and I often push back at a story until I

0:23:27.750,0:23:32.82,am really sure that I have you know

0:23:30.750,0:23:36.12,quite a few of the building blocks in

0:23:32.820,0:23:38.70,place because otherwise it it just seems

0:23:36.120,0:23:41.46,like a struggle in a fight and it's

0:23:38.700,0:23:43.80,going to occupy it takes it takes me

0:23:41.460,0:23:48.21,about ten days of like ten hour days in

0:23:43.800,0:23:50.82,a row ten ten-hour day well it's for one

0:23:48.210,0:23:53.97,story for a story and this is all

0:23:50.820,0:23:58.17,hundred into yeah okay and it's just

0:23:53.970,0:24:00.14,incredible no I mean I'm I guess you're

0:23:58.170,0:24:04.07,saving a minute yeah I'm down

0:24:00.140,0:24:08.32,yeah but not with the hands with the

0:24:04.070,0:24:11.02,brains and then you know it's so much

0:24:08.320,0:24:13.52,because I don't I don't know how other

0:24:11.020,0:24:15.20,writers do this because I'm not writing

0:24:13.520,0:24:18.28,the scenes in order I'm kind of

0:24:15.200,0:24:21.11,deliberately writing them out of order

0:24:18.280,0:24:24.29,just I write the scene I see most

0:24:21.110,0:24:27.08,clearly in my mind first and not worry

0:24:24.290,0:24:29.24,about where it's going to go then then I

0:24:27.080,0:24:33.35,just put the whole thing away for a long

0:24:29.240,0:24:35.69,time that initial mess of a draft and

0:24:33.350,0:24:37.70,then worry later about kind of arranging

0:24:35.690,0:24:42.77,the scenes I'm often moving things

0:24:37.700,0:24:46.91,around not based on when they happened

0:24:42.770,0:24:48.62,but what's more interesting to come next

0:24:46.910,0:24:52.30,okay

0:24:48.620,0:24:54.16,and so when were you studying fiction as

0:24:52.309,0:24:56.36,well as poetry in your graduate school

0:24:54.169,0:25:00.35,or did when did you start to write these

0:24:56.360,0:25:02.75,stories well I was um I did take a

