line,words
91,"KM: You know, I've got a server here on campus. It's a backup server that I save things to. It's very simple. All I'd need to do is drag stuff right now, and I could do it to stop worrying about it. I've also got an external hard drive at home."
92,
93,[4:40]
94,
95,"DB: And if you're going to archive it, if you're going to back it up, that's where you put the work? And once a poem is finished, do you move it to a different folder?"
96,
97,"KM: Yeah, I've gotten kind of lax on it. I need to go in and update it, but typically what it'll be is: I have a folder&#8212;a main poetry folder&#8212;and within that, if there is a specific categories for certain projects, I'll divide them in to that, like a book project or whatever. And if something is published, typically, I'll put a copy of it in the Published folder, and then there would be like an Ongoing, or In-process, folder."
98,
99,DB: Yeah. Do you keep print copies of final drafts? Do you print them out?
100,
101,KM: Not usually.
102,
103,DB: And how about the media you've been published in? Do you keep the journals in a sort of space?
104,
105,"KM: I do, yeah. I have a shelf full of journals and books."
106,
107,"DB: OK. So, do you have any standard practices for archiving digitally or physically, would you say?"
108,
109,KM: Maybe explain what you mean a little more.
110,
111,"DB: Do you have a certain kind of way you put it on an external hard drive, like you put all your papers, or your books, on a certain shelf and that's kind of like your ""archive""?"
112,
113,"KM: Yeah. Right, yes. Like I said, I do have a shelf in my living room. It's like most of the journals and books and anthologies I've been published in. And as far as I said for the digital files, yeah, there's usually a ""published"" folder&#8212;which is way behind being updated."
114,
115,"DB: So, have you ever received or sought out information about digital archiving, or any sort of practices in that way?"
116,
117,"KM: Not really, no."
118,
119,DB: OK. Would you be interested in receiving information?
120,
121,"KM: Possibly, yeah."
122,
123,"DB: OK, that was kind of the basics. And so, this gets more to your trajectory as a writer. It starts off kind of getting a larger arc of it. So, how long have you been writing ""professionally""?"
124,
125,KM: I'd say since roughly '98 or '99.
126,
127,[6:55]
128,
129,DB: And could you kind of give us a sense of the arc of your career over that time period?
130,
131,"KM: Sure. That's when I was just finishing grad school and procrastinating on finishing my dissertation. So, I kind of went back to my long-time interest in contemporary poetry. And I think I had tried to send a few things out to get them published over the years, a few times without any success or sense of direction about it. And then during this time-wasting period, I became aware of electronic journals that were publishing authors I liked. But before that, I hadn't known even how to submit work, you know, to the same journals that would publish the kind of writers I liked. Because, you know, I had tried&#8212;for example, 5, 10 years before&#8212;to submit to magazines that I knew published language poetry and things like that. And typically I'd get no response, or maybe a slip saying, ""Sorry, this journal is no longer in circulation"" because the only way I heard about them in the first place was from the library copies. I had no contact with any of the people involved."
132,
133,"So, the internet changed that. I've been published in a few online journals and made contacts with poets that way. And then it was pretty rapid, from an initial chapbook that was published by Kenning Editions&#8212;ran by Patrick Durgin&#8212;in 2001 called Hovercraft, and then my first book in 2003, Dearhead Nation, from Tougher Disguises Press, edited by James Mets. Then another book that next year by Mike McGhee's Combo Books&#8212;A Thousand Devils. A couple books at the end of the decade from Edge, edited by Rod Smith, and lots of journals and anthologies in the middle there. And a few other chapbooks that I've neglected to mention."
134,
135,"DB: And now, the project that you're working on is the ""Sonograms""?"
136,
137,"KM: That's my chief project, yeah."
138,
139,DB: OK. But you have other ones going?
140,
141,"KM: Well, that's the one that I consciously think of as a project that I'm in the middle of. Occasionally, I'll write something just on a whim, but yeah, that's the main project."
142,
143,"DB: So, we'll sort of talk about the couple of different steps in the writing process, and then we're going to go through kind of how it was in the early stages of your writing and how it's changed. And so, my kind of way of thinking about it is there's the ""compositional"" stage&#8212;which is where you're kind of creating it&#8212;and then you have the ""revision"" stage. Then you kind of have the ""organizational/archival"" stage, which is when you're putting it into books and getting it published. So, those are the three stages to talk about, and then how those have changed over the course of time. Sort of like three-by-three."
144,
145,KM: Sure.
146,
147,[9:40]
148,
149,"DB: So, when you first started writing&#8212;and this is even before you started writing professionally, maybe before when you were trying to find those language poetry journals&#8212;what was your composition process? Or, how were you writing? What were you doing?"
150,
151,"KM: It's really hard to reconstruct something that long ago. I don't think I have much of a method. I think I was really just kind of feeling around in the dark. So, I took a couple of creative writing classes in junior college. I took one as an undergrad that didn't really work for me. I mean I passed, but it didn't do anything for me. But yeah, I would just occasionally feel inspired to write something. I mean, it was very shapeless."
152,
153,"DB: Yeah. So, how did you come to find the writing that you liked? I mean, to find the language poetry, to find the journals that you were sending out to?"
154,
155,"KM: I don't remember what led me to it, but I remember just surfing the web. I think one of the very first journals that caught my attention was Combo by Mike McGhee. They published Clark Coolidge and other language poets and younger poets I hadn't heard of. And at least some of it was online, I think, if I remember correctly. It was like limited digital sampling. And I just emailed them saying, ""Hey, I just want to go about submitting work,"" or something like that. They liked the work, and I was published in there several times. It's the same thing with Kenning, which was also a journal&#8212;Patrick Durgin's journal. I think my first publication actually was in Fourteen Hills from San Francisco State. I went to a group reading for the contributors to that issue and met a lot of Bay Area poets. So, I established a connection with&#8212;I forget what the original question was now."
156,
157,"DB: Oh, it's fine. That's actually kind of where I'm pushing you. So, your writing styles in the beginning, your ways of composition&#8212;they're kind of formless&#8212;"
158,
159,"KM: Oh, yeah, yeah."
160,
161,"DB: How did they start to progress, then? I mean, what was sort of the next step?"
162,
163,"KM: Sure. That's actually pretty easy to answer, because it's kind of, at least so far, been kind of a really distinct, three-stage process."
164,
165,"DB: Oh, great!"
166,
167,"KM: Yeah, I can actually answer according to the terms of the question! So, that earliest work&#8212;and this would be everything up through the period I'm talking about&#8212;was just basically, I don't know how quite to describe it. Organic, or free-hand, you know. Just making stuff up and writing it down. Words would come in to my head, and I would put them on the page. So, typically, I would just type it and it would be like trying to compose a musical piece, or something. Like, what should go after this? How can I complete this rhythm, or set of images? Something like that. And then that began to change with&#8212;again, I say 2000, 2001, when I met Gary Sullivan and other members of the Flarf Group&#8212;and that itself, that second stage had kind of like two stages. At first, I became acquainted with Gary's writing on an email list that we were both on, and just for a joke he wrote some kind of New Year's poem, or something like that, that he called a ""flarf poem."" ""Flarf"" was the invented name for the method. It was basically just writing the stupidest, most shapeless thing you could think of. So it was full of non-sense and obscenities, emphatic noises with no real shape or form other than just, basically, roughly being broken in to lines. He and I and a few other people started doing this just for fun, and we created our own email list just so we could do it. I'm sure the full origin stories out there about&#8212;"
168,
169,DB: Just for my clarification&#8212;it started on a different email list and then it moved to its own?
170,
171,"KM: That's right. And I guess really it started, if I'm correct&#8212;I think this is what Gary related to me&#8212;when he sent a poem in to one of those online vanity price things. ""Poetry.com."" And the short version: he was trying to get rejected. So, he wrote just the stupidest thing he could think of, and it was accepted for consideration for the anthology, which you then pay for if you're actually dumb enough to go through with that. So, that was the origin. Then he just started writing more of them on the email list even after he'd realized he couldn't get rejected, because it was fun. So, a group of us that were on this list, and so eventually, I think it was Drew Gardner who introduced a method in the middle of this shapeless writing of using Google search results. Just going in to the Google page, doing usually a combination search for like two or three terms that you wouldn't expect to see on the same page together and then using that initial search result page as a base from which to collage excerpts. Not following the links, just&#8212;"
172,
173,DB: Just the language that shows up in the Google cache?
174,
175,"KM: That's right, yeah. So, my typical process&#8212;and this is the second stage, the big second stage where, for 10 years, I basically just wrote Google collages&#8212;was I would copy however many pages of the search result page... You know, because I'd click ""next page,"" ""next page,"" ""next page"" of about ten or a hundred results, and the page would turn in to words, and I'd start chiseling it down. Rearranging it, shuffling the contents, and occasionally cheating a little bit by putting a connector word or something like ""and"" or ""the."" Or maybe altering a word that was in just a slightly different grammatical form or something. But that gets back to what we were saying about not doing print revisions because, really, everything's done kind of like refrigerator magnets&#8212;just shuffling around. And I guess printing out a page, I could look at the thing and go, ""Well, if I brought some of this down here..."". But I never did that."
176,
177,"DB: No, right. I mean, it makes sense. It's computer-generated material."
178,
179,"KM: Yeah, and part of the fun of it was using the computer as a kind of canvas."
180,
181,DB: Yeah.
182,
183,KM: There was something kind of pleasing about pulling the components around and almost physically moving them around in that digital space.
184,
185,"DB: And when you're copying the page, do you just, say, CTRL+All, grab it and drop it in? Do you get images and what-not with that? Or do you just drag the thing up and just get the text and paste it in?"
186,
187,"KM: Yeah. I mean typically, on a Mac, I'd just select the whole page, copy, and paste. I mean, there weren't any images because it was just the result page."
188,
189,"DB: Just the result page, OK."
190,
191,"KM: Right. What you would get was a lot of the, like, red or blue text, or purple text&#8212;the URLs and headers and things like that. But typically the first stage of going through the manuscript would be to remove all of that kind of junk-text. I mean it was all junk, but..."
192,
193,DB: Right.
194,
195,"KM: But, yeah, they were just numbers and code, so all I would had left were recognizable words, and maybe numbers."
196,
197,"DB: And in getting rid of that junk-text, were you reading it at the same time, or were you starting to kind of get a sense of what you had gotten? Or was it just kind of a rote ""Let's get rid of this and then look at it""?"
198,
199,"KM: I think&#8212;based on my memory&#8212;it would be a rote thing of, just, ""First, let's get rid of everything I know is not actual, or in most cases, not useable text."" I mean, there might be some little strings of code where I think, ""Oh, that's kind of cool just by itself&#8212;I'll leave that in,"" but it was mostly an automatic process of, ""Let me reduce it to just letters and black text, as opposed to colored, linked text"". And then from that stage&#8212;and I don't know how interesting this could possibly be to anybody, but&#8212;"
200,
201,DB: I'm interested!
202,
203,"KM: &#8212;what would be left after that would be a lot of things like ellipses or dashes, because there'd be partial phrases and then ellipses, and then a beginning of another phrase, and that'd be how the search results would be arranged on the page. So then I might just say, ""OK, I might get rid of all or most of the ellipses or dashes."" I would also go through&#8212;just for the sake of composition&#8212;and change case. Select everything and then change case to lowercase just to get rid of all the blocks of caps that were kind of unwieldy. And then later in that process of composition I might change some letters back to caps, but typically, for whatever reason, the default format for the poem would be no caps unless they're required by convention, by which I mean proper names and things like that. I wouldn't capitalize the beginning of a line or anything like that. So, basically, once I was ready to actually start composing the poem I would have however many pages full of lowercase language in black and white."
204,
205,[19:03]
206,
207,"DB: Yeah. And so for the dashes and ellipses and what-not, would you just do a ""find all"" and delete them?"
208,
209,"KM: Yeah, that would be the quick way. I learned that pretty quickly. I would just, ""Find this and replace with nothing"" until I'd just have words for the most part, and maybe some numerals."
210,
211,"DB: Yeah. And so that's almost kind of your ""pre-writing"" stage in some ways, and then you're to the point where you're ""composing"" the poem, or whatever word you use. I mean, what words do you use?"
212,
213,"KM: Yeah. I mean, just because of the nature of the way it was copied on the page, what I'd usually end up with would be something like tercets, or something that looked, on the page, already kind of like tercets. Which is why a lot of the poems&#8212;not all of them&#8212;end up being in tercets. I would just keep that. And sometimes two lines, sometimes three lines, sometimes longer, and sometimes more longer stanzas. But sometimes just that accidental form would give me kind of a starting point like, ""OK, I've got groups of three lines, but I want to move this line from this one up here to this other one and then balance out the other one with the other line or phrase."" Like I said, it would be like refrigerator magnets, though sometimes with full phrases instead of just individual words. And in the middle of that process, I'd usually get rid of most of the language&#8212;some of the language I couldn't figure out what interesting things I could do with, or that wouldn't be interesting. So, the finished poems might be anywhere from a third of a page to several pages long, but I'd be starting sometimes with, like, ten pages."
214,
215,"DB: And you'd just go and delete, delete, delete?"
216,
217,"KM: Mhmm. Rearrange, shuffle."
218,
219,"DB: And so what were the phrases or words, or groupings, that would catch your eye, or catch your ear? I mean, which was it catching?"
220,
221,"KM: I'd say earlier in the process it had more to do with the original search terms I used. So, for example, my first book Deer Head Nation involved a bunch of searches that usually included, among other terms, the term ""deer head."" So, for that, I was obviously motivated to keep deer head a lot of the time so I could keep that theme going. Or, sometimes I would think of a phrase I thought was funny or bizarre and I'd want that to be a title, and I'd want to keep a few instances of those words in the poem. I'd say, I guess, several years further along into the process, I got to the point where I didn't really care if the original search terms showed up at all. I just wanted to create kind of a lyric construct, but one that was limited in its sources to that bank of terms."
222,
223,DB: What do you think got you to that sort of preference?
224,
225,KM: No idea.
226,
227,DB: No idea?
228,
229,"KM: I think just getting bored with the regularity of the earlier process. Which I think worked pretty well for me with some of the original first projects, because they were kind of thematically motivated. You know, the deer head thing was supposed to be kind of a metaphor for imperialism or something, I don't know."
230,
231,DB: Yeah.
232,
233,"KM: But as I went on, I just really became more concerned with just wanting a verbal shape or sculpture that I found interesting."
234,
235,"DB: And do you find then that those later poems are more ""readable""?"
236,
237,"KM: Probably not! I mean, that's a good question. I'm laughing, but I mean, you know, one person's definition of ""readable"" is very different from another's. Because in all honesty, some people would look at it, whether it's an earlier stage or a later stage, and think, ""This isn't poetry. This is just spam or something. This is just garbage from the internet."" And I don't even think that divide is along the ""experimental"" or ""traditional,"" necessarily, because, frankly, a lot of the biggest critics of Flarf are experimental poets."
238,
239,DB: Right.
240,
241,[23:00]
242,
243,"KM: So, I think it really just has to do with whether a person has the kind of mind that likes ""arrangement,"" in that sense, rather than&#8212;let me rephrase that. I think it depends whether someone's drawn to verbal arrangement over-and-above verbal theme. I mean, that's what drew me originally to poets like Clark Coolidge, or other language poets. You know, it didn't matter what it ""said"" in the traditional sense. I was interested in, like, ""Wow! How can you put those words in that place!"" So, I don't really know what's readable to the ""average person."" Because I don't think there is an ""average person."""
244,
245,"DB: Yeah. I guess&#8212;in terms of your own reading, or in terms of your own compositions&#8212;when you're making those things, did you find those later poems to be more pleasurable to make? You said there was more of a lyric bent to them."
246,
247,[24:00]
248,
249,"KM: Yeah, I don't know if other people would see it as lyric, necessarily, but, yeah. I think so. I think, inevitably, it became almost&#8212;at least from my perspective&#8212;more traditional. Again, I think other people would look at it and say, ""You call this traditional?"" But I felt like I was kind of going back to the kinds of things that pleased me about older forms of poetry. So, even if the poems themselves have like ridiculous vocabulary and images&#8212;you know, junk food, or porn site terminology, or whatever else comes off the internet&#8212;I would be looking for rhythm. I'm very influenced by somebody like Clark Coolidge, on that level&#8212;kind of like the jazz-influenced mode of composition."
250,
251,DB: So how are you constructing your lines if you're looking for that sort of rhythm?
252,
253,"KM: I guess the lines are really just determined by the shape of the phrases. I mean, for me, the rhythm comes outward from words. It's not like a pentameter rhythm or something that's determined by a set length. Not in that project. Not in those poems."
254,
255,"DB: When you grabbed a phrase or a few phrases, were those automatically lines, or would you break those into different lines?"
256,
257,"KM: It really depends, but usually I do a lot of breaking. I mean, there's a sense on which the whole process is kind of unnecessary, I mean, because ultimately what I was doing was just manipulating the results so much. I mean, I would think all the time that I really didn't need to go to the internet except at the level of just, I think, vocabulary. And maybe beyond that, just for little syntactical clusters, like, ""Oh, wow! Look at these four words in a row. I would never have come up with these four words in a row on my own, just trying to think of something."" So, what I was looking for was just really a pallet full of colors&#8212;colors I couldn't think of by myself, because no human being would think of putting those things in a poem because they're not that. They're something else at that stage."
258,
259,"DB: So, in terms of your revision strategies for these poems, in the early stages you had more&#8212;and I'm sort of recapping, here&#8212;of an intent towards representing the search in some very fundamental way. And then, later, it started to become you wanting to kind of represent an accumulation and arrangement more lyrically, or more in a way that was kind of traditional, in your traditions of poetry."
260,
261,"KM: But I think the one constant was the importance of the idea that was generated by the search. I don't see the need to mask the method. I think one of the pleasures, for me, of reading other work like that by other people is knowing, ""Oh, they did this by using a particular procedure."" And I'm still most interested in how the finished work affects me. But the knowledge that it was created in a certain way is something I can't separate, and that I don't want to separate. So, you know, I would frame the work all the way through. If I were to mention it, which I have the occasion to do in the beginning of the book, or whatever&#8212;""This was creating using Google search methods""&#8212;I think it helps people going in to it with that knowledge. But like you're saying, I didn't necessarily want the search to retain some imprint of all the original conditions of the search. Maybe in the first book, to some extent. For example, in Deer Head Nation, I not only kept a lot more longer clusters&#8212;the original syntactic clusters&#8212;but I would keep a bunch of ellipses and create visual groupings with them. All these kind of graphic reminders of what the process was. I just felt less inclined to do that as I went on because it didn't seem necessary for the different kinds of poems I was going in to."
262,
263,"DB: Right, right. What about the prose poems in this tradition? How did those come about?"
264,
265,"KM: I mean, same thing. But there, the original search terms did remain much more important because, I mean, you have a phrase like ""and then she said"" or something very fixed and obviously, in order to keep the shape throughout the poem, I'm going to have to keep coming back to that tag. There, the goal is usually to make it seem seamless, like this is the one subject saying something over and over again. So, yeah, that would be an exception. Although, I think I also did some prose poems where I didn't stick that much to whatever original, grammatical framing. I don't remember off hand, how, or which ones, but&#8212;"
266,
267,[28:58] REVISION DRIVEN BY SOUND?
268,
269,"DB: Were these revisions driven by sound? I mean, were you reading them out loud to get a better kind of rhythm or did you have like meanings or themes that you wanted to elicit?"
270,
271,"KM: Yeah, that's a good question. I think sound was probably usually at least tied for the primary motivator, there."
272,
273,"DB: What would determine a line break, then, in terms of sound?"
274,
275,"KM: That's a difficult question even for like traditional modes of writing, right?"
276,
277,DB: It's an impossible question.
278,
279,"KM: This is one of the things that drives me crazy in workshop when I'm teaching. It's like, on the one hand, wanting people to think about line breaks and what motivates them to do what they do, and on the other hand, getting so tired of getting so bogged-down in completely arbitrary theories of, like, ""The Line Break."" Because, in some ways, it's like a very important thing, but in some ways it's just totally random. I mean, not in every poem, obviously, and of course, if you're working in a fixed form, it's taken care of. But free-verse or procedural, or other kinds of things where the line breaks are kind of a post-facto consideration&#8212;I mean, really, it's just going on my nerve, you know? Just what strikes me at the moment is seeming like a good way to keep the rhythm going, or to create a halt in the rhythm, or to do a little of both depending on where I am in the poem."
280,
281,"DB: So what would be the phrase that you would use? I mean, you said it's ""collage,"" that it's ""Google collage"". I mean, I've seen ""Google sculpt,"" I've seen ""found poetry""&#8212;"
282,
283,"KM: Yeah, ""Google sculpt"" is the term I kind of tried to put out there for it."
284,
285,"DB: So that's the one you sort of prefer saying? It's like ""Google sculpting""? I mean, sculpting being collage works&#8212;"
286,
287,"KM: Yeah, I mean ""Google collage"" works, too."
288,
289,[31:00]
290,
291,"DB: Do you know what the search terms are for each poem, and is there somewhere where that's recorded?"
292,
293,"KM: No. Sometimes I think about that, like, ""Why didn't I keep a record of how exactly this came about?"" But no, I'm too absent-minded and lazy for that."
294,
295,DB: You'd probably have to recreate it someday by using a simulator or something.
296,
297,"KM: Oh, you can't! Because, I mean, the internet has completely changed, right?"
298,
299,DB: Yeah.
300,
301,KM: It's gone forever.
302,
303,"DB: I know&#8212;it's so fascinating. So, we've moved from the first stage to the second stage to then the two stages of that, the latter stage of that having run up for about ten years you said?"
304,
305,"KM: Something like that, yeah. So, I'm writing just free-form&#8212;or however you want to describe it&#8212;from '98 to 2000. So that was a very short phase, though the second book, A Thousand Devils, was kind of stuff left over from that stage. So, even though that came out in 2004, most of it had been written quite earlier."
306,
307,DB: And Hovercraft is also from that stage?
308,
309,"KM: Yeah, that's from that initial stage."
310,
311,DB: And then the second stage starts with Deer Head Nation?
312,
313,KM: Mhmm&#8212;through Breathalyzer and The Front.
314,
315,"DB: And so this third section, then, is the ""sonograms""?"
316,
317,KM: Yeah.
318,
319,[32:11] THE SONOGRAMS
320,
321,"DB: So, how did that project come about?"
322,
323,"KM: I should just say, by the way, I'm calling these ""stages"" just as a convenient way of separating different times. I don't think of it necessarily like, ""Oh, this is the, you know, ""initiatory"" stage and I developed in to this."" This is just what I happened to start doing or stop doing."
324,
325,DB: Yeah&#8212;not a compression.
326,
327,"KM: Yeah. So, yeah, Sonograms&#8212;I forgot what year. It's been an embarrassingly long time now, because I've been working very slowly on it. I've been a very lazy poet."
328,
329,DB: The best poets are.
330,
331,"KM: I mean, it would've been finished a long time ago if I kept any schedule. I'm a little over halfway through. I think I started in, I don't know, 2008, or something like that. It was National Poetry month, and I was looking for an idea, just some quick and easy gimmick to allow me to write a poem a day. And I thought I could do something with Shakespeare's sonnets. It's like: go to the internet and find a sonnet, copy it, and paste it in to a Word doc. Then: ""Okay&#8212;what can I do in the next five or ten minutes using this as my source?"" I'd say, ""Here, I wrote a poem for this silly tradition."" And I'd just start kind of shuffling it and playing with it with my cursor, thinking. And I had been recently impressed by a book by Gregory Bets, which I'm now embarrassingly forgetting the title of. Anyway, it's a book in which he takes a paragraph from a speech and rearranges it multiple times throughout the book just by a letter. So, it's anagrams of the same paragraph. Christian Bok gave me a copy of this&#8212;as well as, I think, Gregory Betts, who was with him at the time&#8212;and said, ""Hey, you'll like this book."" And I did. And I thought, ""Oh, I want to play around with this,"" and I suddenly remembered, ""Oh, anagrams. Well, OK. This will probably take too long. I'll just start shuffling it around, figuring out ways to break it up."" And then I came up with the idea of taking each of the lines and feeding them in to an anagram generator, because that's all that would fit&#8212;at the time, it'd be one line. So, I did that, and every time I fed it in, the anagram generator would give me a choice of a bunch of word lists that you could make by rearranging that particular line. I just picked the one I liked the best until I had this poem that was fourteen lines with silly words. So I thought, ""Well, OK. There, that's a poem. But, eh, it's not that interesting. I mean, it's kind of cool."" And in retrospect, that was another thing I wish I had done, which was save all these initial first stage word lists that I used to create the poems, but I haven't."
332,
333,[35:00]
334,
335,DB: The librarian in me is sort of cringing right now.
336,
337,"KM: Well they're just kind of neat poems, like cheap, fake poems on their own. They're just line-by-line anagrams of the original sonnet, but without much syntax or anything. They're just words in a row."
338,
339,DB: Right.
340,
341,"KM: So, I sat there and thought, ""Oh, I'm already ten or fifteen minutes in to it, but it'd be more interesting if I move the letters throughout the poem like Gregory Betts did."" So, I did that, and then like four or five hours later, I had been working on these poems for, like, a big chunk of the day. So then I got really hooked on it and started doing a bunch of them. I don't think I kept to the the National Poetry Month schedule, but I did a few of these, and soon it stuck. Now, I'm up to ninety-something, I think. It's embarrassing. Like I said, it's been since 2008&#8212;I should have a lot more."
342,
343,DB: And there are a hundred and&#8212;?
344,
345,"KM: A hundred and fifty-four, total. But, yeah, so each poem is just an anagram. And then, I would say, there's a ""cheat"": I'll use all the letters to create a new poem in iambic pentameter, with the original rhyme scheme&#8212;A, B, A, B, etcetera, with three quatrains and a couplet&#8212;but then I'll have letters left over. It's almost never a problem that I don't have enough letters, usually, it's just that I can't use them all in the poem. So, I'll use those extra letters to make up a title, but that usually is pretty stupid. The whole poem is stupid, but the title isn't in pentameter or anything. It's just whatever I can do with the leftover letters."
346,
347,[37:03]
348,
349,"DB: So you started off with the kind of stuff from the anagram generator, and I'm assuming that's not in iambic pentameter?"
350,
351,KM: Right&#8212;just words.
352,
353,"DB: So, was that the initial move that first day? You went, like, ""Oh, I need to make this match up with the Elizabethan sonnet form""?"
354,
355,"KM: Yeah, yeah. That was pretty much it. I think the very first one was the one that's on this little trading card&#8212;"
356,
357,"DB: Oh, I have that trading card!"
358,
359,"KM: Frankly, in fact, it's definitely the worst out of all of them, because it's got sort of a consistence in text and grammar, but it's just complete nonsense. But it was, in fact, technically iambic pentameter, and it technically rhymed. You know, it half rhymed. Then I got much more stringent about it from them on, like, ""Oh, I'm going to actually make them construable as meanings even if they are bizarre meanings."""
360,
361,"DB: OK. And so from that first one on&#8212;from two to wherever you are now&#8212;you were like, ""Okay, now I'm going to have more structure to them""?"
362,
363,"KM: Yeah. I mean, they always have the structure&#8212;I may be overstating it. I think the first ones probably, in some ways, are as construable as the others. I think it was just finding my stride for the next few, like, ""Oh, I don't have to reach for these, like, half rhymes."" Or, I can make that the most determined, kind of fluid part of it, and just then make the absurdities stand out in even more pleasing relief."
364,
365,[38:35]
366,
367,"DB: I mean, you said they got ""better"" as you did them, and I'm sort of interested in this from your early Flarf stuff to The Front, too. I mean, I don't know, for my taste, I think it's better. And so, I'm wondering, how do you think of it in that way? Is it just from practice?"
368,
369,"KM: I think it really is that simple. I think after the first one or two, I just got more practice working with the pentameter, creating a smoother flow. Really, that's all."
370,
371,"DB: Right. And so now that you're almost at number one hundred, do you have a different way of going about it?"
372,
373,KM: The basic process has stayed exactly the same. I think I changed the generator at one point in the process because I found a better one.
374,
375,DB: What was the first generator?
376,
377,"KM: I don't remember what the first one was. It was kind of the standard, like the one most people would come to first, I believe. And the way I chose it in the first place was that it was just one that would accommodate an entire line, because not all of them would. Usually, they're better with names, or things like that. But I found one that would take an entire line of iambic pentameter. And then most recently, the one I use now is, I think, the best out of all the ones I've used. It's called ""One Across,"" at oneacross.com."
378,
379,[40:00]
380,
381,DB: OK.
382,
383,"KM: And it's nice because it's got a little control. I'm sure all the others have probably developed since I've been doing this, too, and they can do a lot of the same things. But, I'll put the basic line in the top box and then I have a little, if I want to, optional box where I can make sure it contains a certain word, if I find a certain word I want to make sure is in it, but I don't like the first few. Because there are sometimes hundreds of options to scroll through. So I can be like, ""Make sure it contains lawnmower,"" you know, or whatever."
384,
385,"DB: So, you can you search and then limit the search in some ways."
386,
387,KM: Mhmm.
388,
389,DB: That's interesting. Does it ever produce a perfectly iambic pentameter line that you can use?
390,
391,KM: I haven't done that yet. I'm sure it's theoretically possible.
392,
393,DB: Electronic monkeys writing King Lear!
394,
395,"KM: I mean, do you know about the Pentametron? Which is this wonderful Twitter-based website."
396,
397,"DB: No, I do not know about the Pentametron."
398,
399,"KM: It is exactly kind of what you just said. Somebody built a program that just continuously scans Twitter&#8212;everybody's Twitter account, apparently&#8212;and finds all lines of iambic pentameter. Really, most of them, I'm sure, are accidental. And it finds other lines of iambic pentameter that rhyme with them, and creates this ongoing poem. I can go to it right now&#8212;"
400,
401,DB: Yeah.
402,
403,KM: The one thing about it is it always starts with the oldest part. I wish it were bottom to top so you could always see the most recent.
404,
405,DB: Yeah.
406,
407,"KM: Oh, here we are. You just go to the Twitter page with that. ""Bread cards and sweaty bodies everywhere. The largest arms erect into the air. I'm way excited for the album though, you just a hoe&#8212;a stupid, stupid hoe. Tim Duncan is a fucking dinosaur. I'm not a people person anymore. I wanna wear a maxi dress today. I really wanna sleep today away,"" and so on. It also shows who the original Tweeter was, and it's just random people. So, it's like the greatest poem of the 21st century."
408,
409,DB: Yeah. Do you know who's behind it?
410,
