poet,detail,tag,quote
mcmichael,"moving from long-hand to typewriter was a producitve and often pleasurable break/move that he repeated over and over to write his books, even on long sections",between;paper;revision,"There's 16 sections of it of varying lengths, and I'd do it section by section. It was pretty much chronological, but some of the sections were 16, 17 pages long, so I'd go through the whole process for that particular section. You know, if I were typing up what I'd recently added 4 or 5 lines to, I'd probably type the whole thing again"
mcmichael,"With last book, found he didn't miss the typing stage and that the notetaking, typing, and revision stages all started to meld",change; between,"There was, as I said before, a surprise that I wasn't at all missing the typing—the typing stage probably because it was all typing. So, it was as if... That's what's happened with this machine—was the long-hand and the typing just coalesced and because the same activity."
mcmichael,"reading and notetaking central to process from beginning, moving from 5x8 cards to notebooks, increasing in importance over years",paper; prompt,"I think the reading and the note-taking part of it has gotten to be more dominant over the course of the time"
mcmichael,"highly idiosyncratic note-taking technique, with mutli-colored references and interpretations of previous notes",paper; prompt,"these are the notes that I would take for the book that I'm reading. The RED is the more important material. It's something that, if I'm going through it I can read and just pick out the highlighted parts, then GREEN are my own responses. So, I'm always working on the right hand page when I'm taking notes from books I'm reading, then when I'm going back over the material, I'll work on this page and there'll be other changes. Usually more GREEN will turn up."
mcmichael,"Doesn't write drafts; instead writes whole book poem by poem line by line; mss just one file with most recent additions, written poem by poem, line by line",files; mss;revision,"I work on them almost only cumulatively so that I take them along line by line. I don't...I'm not able to write a draft of something."
mcmichael,"Major changes in writing practice more due to realization of content and improvement of practice/standards rather than technology",change,"After I wrote the Vegetables, I had a standard that I had to apply all the time. And once it was in place, then I had something to work with besides form (I had form, too, but I had form before when I was filling form with bad phrases)."
mcmichael,"loves non-invasive quality of computer, especially for corresopndence",correspondence; ,"But I love how non-invasive this [the computer] is as a medium—not so much in terms of my being protected against being invaded by somebody else, but being able to say something (send somebody something here [on the computer]) and understand that they can open it when they want, and that it's not an imposition on them."
mcmichael,"music, starting with jazz then moving to rock and roll, and finally staying with classical, had a profound effect on practice, especially on form and length of individual poems ",change; revision,"I think there's a non-accidental relationship between the forms I was working with having been as short as a 3-minute take and a sonata form, or a scherzo trio form, or an adagio, or something like that that the lengths of it (the units I was working on ) got larger when I was listening to pieces of music that were 8-9 minutes to ½ an hour long."
mcmichael,"has sense of what's missing in current manuscript and writes toward that, save for, of course, first poem",prompt;mss,"I'm focused on one, but I have a pretty good sense of where it might go, organizationally, in relation to the others except right at the beginning of the project. At that point, I'm not clear on what's missing. I'm working toward beginning to understand what the whole might contain,"
mcmichael,"reading and engagement with other authors key to both generating and revising work",prompt;revision,"And then that gives me a sense that there's less I've failed to address, and therefore maybe I've been brought to a position (with their help) of being able to find a phrase that lets me move from this point, in where I am with the poem I'm writing, further along."
mcmichael,"the product of all the work is the poem that can't be made better, which is contained in a book",revision,"The poem that I can't make any better"
mcmichael,"mcmichael's career dotted by periods of not-writing too",career;prompt,"I don't understand why I didn't just accept that I was thru writing. I mean, that should have been enough, but that wasn't what I felt –I don't know why, but I didn't."
mcmichael,"has never regretted getting rid of lines, etc.",future;revision,"I didn't ever regret throwing stuff away."
vanwinckel,"Drafts every project by hand, in a separate notebook/space. ",paper;prompt,"I work in longhand, on yellow legal tablets, or just whatever. I have different notebooks that I have. That's what all these notebooks are here; these are my various writing projects in process. They each get their own little notebook."
vanwinckel,"Cleans up digital archives as each project is published. ",future;files,"Yeah, I save them as Word docs and then when I'm done with them and the books are published, then I just put them on a back-up disk and take them off my hard drive here."
vanwinckel,"Lifiting spacial limitations re: which poem(s) start on which pages creates opportunity for new poem ideas via association, juxtaposition. ",paper;revision;change,"So yeah, early on - one of the things that's different now- is that early on I would probably just work on a poem, so I would write. I would have a page in my notebook, and there were lines, and I would move things around on the page, and then I would have another page in the notebook with a different poem. But over the years I've started working on maybe two or three poems almost kind of simultaneously, on the same page, which feels kind of nutty, but what I was experiencing that led me this way was that a lot of times things would be coming to me - images, lines --- that didn't seem to belong to the poem I thought I was working on. So I realize it might be helpful to not confine myself. So that's why that was one of the main transitions. I think that happened maybe half-way along. In the late-eighties or so I started experimenting with that and I liked it. I liked having just a page with a poem one margin, and another going down another margin, and one going across the bottom. Something like that."
vanwinckel,"Same-page drafting segues into poem series', informs manuscript structure. ",change;mss,"And then I liked that. I like working in series so much when I was writing that book that I also just decided I wanted to keep moving in that direction. I liked those series poems. And they maybe lent themselves more to that practice with several poems happening at the same time in early draft stages."
vanwinckel,"Immersion-style writing process--by hand, or in her head--for stories versus poems. ",paper;prompt,"So much is going on. I go out and I take a walk every afternoon in this park. It's actually part of my writing process. I take a walk in the afternoon, and it's like 'shut up' I'm just trying to take a walk!' People are talking in my head. It feels like this overpowering thing when I'm working on a story. It just comes over me and wakes me up in the morning. People wake me up in the morning. They are chattering away. It's very unnerving. I often push back at a story until I am really sure that I have quite a few of the building blocks in place. Because otherwise it just seems like a struggle and a fight. And it's going to occupy - it takes me like 10 ten-hour days in a row for a story."
vanwinckel,"Teaching inspired initial foray into fiction. ",career;teaching,"So, I think I just accidentally taught myself to write fiction by trying to help my students make their stories better and trying to diagnose: 'What does this story need?'"
vanwinckel,"Necessity of teaching fiction as a poet inspires unexpected bank of story ideas.",career;teaching;prompt;early,"I remember so many days walking to my fiction writing class and trying to think about what I was going to say to this writer about her story-how to address its troubles-and I realized that I was internalizing all of this. And then the first time I got a sabbatical, I remember I was driving into Chicago for a little adventure for the day (and I was so happy I had this sabbatical I was going to work on poems, of course) and I got this idea for a story. I remember I was just writing on my car seat while I'm driving-just this little note to myself about what the story-kind of just a synopsis, like one sentence of what it would be. By the time I got in to Chicago, I had 5 story synopses written on this piece of paper, and then I just came home. That's what I did for my whole sabbatical-I wrote a bunch of stories and that was the 1st book of stories. Limited Lifetime Warranty, it was called."
vanwinckel,"Tiered system of older > newer drafts stored in notebooks prior to digital trancription. ",between;revision;paper,"So, I probably&#8230; as I said, I probably do 2 or 3 handwritten drafts and I'll actually rip the notebook page out. I have notebooks and notebooks where I have a big X through the page so that I do not get confused that I'm actually done with this version, and now if I look hard enough in the notebook, there is a later version of these poems. But I throw the old, ripped up pages in the back of the notebook, and there's a newer version somewhere in there. But the older ones are fatter and often&#8230; I'm also experimenting with line break, then too, with the shaping issues&#8230;"
vanwinckel,"Visually (and maybe generationally?), she experiences a heightened sense of permanence typing lines on the computer vs. experimenting with lineation by hand.",revision;between;printdig,"And then I feel like when I move it to the computer, I'm sort of getting to a place where I want to look at it&#8230; There's something that&#8230; I'm sure you're going to hear this with lots of writers my age&#8230; that there's something about when you type it up that starts to make it look permanent, especially for me in terms of the shape of the poem, the line lengths especially in a poem. I'm less inclined to fiddle with line lengths once I've got it on the computer. I do that. For some reason it still feels easier for me to do it on the page because like I just stick my slashes in there."
vanwinckel,"Computer serves as a bridge between paper drafts and submission/correspondence. ",between;revision;correspondence,"I'll look at it on&#8230; I'll come back to it over a period of a couple of weeks on the computer then (once it's on the computer file) and look at it, probably tinker with it a little bit more before, and then I'll start sending it out probably."
vanwinckel,"Digital composition now happens in the moment, not just via transcription or revision.",career;change;between,"Well, I think it's mostly been gradual. I've grown more comfortable doing some revision work on the computer and especially with the fiction, and maybe because fiction still feels like a newer form to me. One shift that has felt a little bit more dramatic with composing is that I have found myself, when I'm working on short stories, actually doing some new composing work right here while I'm sitting. Like I'll be working on a story thinking&#8230; I'm typing in from my notebook&#8230;"
vanwinckel,"On picking and choosing her own work for a hybrid approach to selected poems. ",change;between;mss;revision,"And, you know, I feel like I'm kind of talking&#8230; I had&#8230; I sense one of the things that's going on in this project is that I'm talking back to history in a way and saying, 'No, that's not right,' and I like that. I like that versus-"
vanwinckel,"Attached to the hand-eye coordination, tactile effect of drafting on paper.",paper,"And I still feel that when I'm working, especially on poems, that there's something happening between the eye and the fingers and the page. It's very tactile that I'm hanging on to that, which I like."
mohammad,"Prior to the advent of the internet, finding venues for the language poetry that would later become integral to his style was difficult. ",early;career,"I think I was really just kind of feeling around in the dark."
mohammad,"Paper is rarely, if ever, used in the composition process, though very early drafts are saved (and hidden away).",paper,"I think the only exception to that is maybe I have some paper copies somewhere of something I wrote in college and hope no one ever sees"
mohammad,"Though composition, revision, and manuscript assembly happens almost exclusively in a digital environment, the actual files aren't necessarily cared for as one might think. Could this be because Mohammad's was a writing practice born in a digital environment, where he feels more at home, less anxious, than others?",files,"Oh, no. I don't. I probably should, but I almost never save drafts. I just open up a doc and write over it until I think it's finished."
mohammad,"Three distinct stages frame the evolution of writing practice: 1) exchanges of language experiments with other poets via a low-pressure email group, 2) Google collage-making (using search results), and 3) experiments with rearranging Shakespearean sonnetts (Sonograms).  ",change;between;career;correspondence,"it's kind of, at least so far, been kind of a really distinct, three-stage process."
mohammad,"Composition almost resembles a kind of digital painting—moving copy and pasted words and phrases around on the screen until the desired effect is achieved.",prompt;revision;flarf,"There was something kind of pleasing about pulling the components around and almost physically moving them around in that digital space."
mohammad,"Basic—and often purposefully absurd—search terms serve as a starting point, and often evolve into a kind of unifying theme across a manuscript. ",prompt;mss,"my first book Deer Head Nation involved a bunch of searches that usually included, among other terms, the term deer head."
mohammad,"After a period of pushing found excerpts around into interesting arrangements, the least interesting language is stripped away.",revision;flarf,"it would be like refrigerator magnets, though sometimes with full phrases instead of just individual words. And in the middle of that process, I'd usually get rid of most of the language—some of the language I couldn't figure out what interesting things I could do with, or that wouldn't be interesting."
mohammad,"Finding unusual and pleasant combinations of the language itself takes precedence over finding or constructing new meaning.",revision;prompt,"You know, it didn't matter what it said in the traditional sense. I was interested in, like, Wow! How can you put those words in that place!"
mohammad,"Much like the poems themselves, manuscripts as a whole are most often organized in terms of energies existing at the language level rather than a thematic one. ",mss;flarf,"Really, the only one that's thematically organized in any sense is the first one."
mohammad,"Aside from a physical collection of print journals containing past work, ongoing projects and more recent publications are saved digitally, and only occassionally backed up.",future,"Yeah, I've gotten kind of lax on it. I need to go in and update it, but typically what it'll be is: I have a folder—a main poetry folder—and within that, if there is a specific categories for certain projects, I'll divide them in to that, like a book project or whatever."
mohammad,"Blogging and other online forums have—outside of initial Flarf exchanges—been used mostly as a casual social connection with other poets.",correspondence;flarf,"I think for me, again, the main value of the blogging thing was to bring me in to contact with other poets and having discussions."
mohammad,"At a certain point, the Flarf movement began to dismantle itself, as central figures began expanding upon initial Flarf ideas and motivations (like the sonograms).",flarf,"I think Death of Flarf, most of the time, was a phrase we used ourselves just to kind of, like, kill the beast before it killed us, or something. But I think it just ran its course."
mohammad,"Flarf is the term used to describe a recent movement in language poetry that used text found online to construct poems, and originated on a small, extremely casual email listserv.",flarf,"There was almost nothing critical going on in there, ever."
ryan,"always strats poem in long-hand, writing it over and over by hand, then moves to computer then prints out, etc. ",between;paper,"it's always been going back and-I mean, it's mostly handwritten over, and over, and over, and over, and over again, starting from the beginning. I never have been able to do it any other way. First word first. First syllable first. All the way to the end."
ryan,"most pieces come differenlty than others though; has finished some poems 25 years after starting",prompt;revision,"It really is like doing problems, I think. At that stage of composition, at least. The ideas kind of that you get something that compels you. Isn't that how it is? It drives you through till it's finished, and that finish may take a while or not. It might take forms, there can be snags along the way. There can be endings that don't come, but it isn't linear-there are problems that occur. Structural problems, and so forth."
ryan,"early benefit of computer was simply not having to re-type so much",early,"Again, it was great to be able to change things without typing them all out again-and that's pretty much all you could with it."
ryan,"writes on white and yellow paper, folding the white paper in half and writing over the halves, then tucking them together",paper,"What I do is I take a piece of white typing paper-usually it has something written on the other side of it-I will fold it in half, and I will start writing on one side of it. And, you know, if that goes on-if it's longer than that-I will go to the other side. And then when I have to store them, I will shove them together, you know, in a way that they can be folded-in inside, and the latest one will be on top. But also, I will write on yellow pads, and that'll come into the process."
ryan,"averse to learning more than necessary about back up procedures, etc; employs a computer guy to manage system",future;files,"I don't know how they do that but I'm pretty ignorant of all these stuff, and willfully so. It just would suck up too much of my time to learn about it."
ryan,"stores his paper copies in brown boxes that dot his office",future;paper,"My office is filled with stacks of brown boxes, as you might remember. It's all a big mess and a big pile."
ryan,"focus for poem is that it come into its own as a thing, realizes itself as the best possible poem it can be",revision,"So again, it's just my audience for a poem is the poem. What anybody else thinks of it-or even what I think of it-doesn't matter at all. To me, what I want to do is get the poem to come off of the page and become a thing."
ryan,"essentially works on the computer with his poems much like he worked on the typewriter",revision;early;change,"Essentially. I mean, I guess maybe sometimes I do make little changes on the screen. You know, if I'm typing it up again or something, that will perhaps provoke-probably very minor-changes."
ryan,"ability to look up etymologies and rhymes online = greatest change to writing process due to computer; remarkably consistent practice throughout",change,"But I have looked up-I confess-rhyming pairs. There are rhyming dictionaries online. So, sometimes I've used those just to see what the options are."
ryan,"physical problems using the computer one reason he's used computer less for some writing",paper; early;change,"Also, I'm having some physical problems using computers, and probably heading for a shoulder surgery this summer, so it's not physically comfortable to spend too much time on it. But mostly, even before that, I don't like to read off the screen."
ryan,"screens not native to him; paper is",paper;change,"I like having a physical thing in my hands to read from. That's native to me. I mean, screens didn't come in any significant way until about 15 years ago."
wrigley,"Composition typically involves a volleying back and forth between longhand on paper (where it begins) and the computer, mostly in an effort to stir up new ideas.",between;prompt;paper;revision,"Somehow converting the hand written text to text on the computer screen—and it was with a typewriter, even before—can allow you to see things about its structure or about its movement that you might not have seen while you were in the midst of it."
wrigley,"The computer makes experimenting with structural elements in a poem extremely easy.",between;prompt;paper;revision,"It changed everything about the poem, having that poem broken into tercets instead of quatrains. That was so easy to do and so easy to examine, to test, with a computer."
wrigley,"Handwritten notes in easily portable notebooks are integral to capturing initial inspirations and lines, and they are archived.",early;prompt;paper,"These little fellows, these Moleskine. However one pronounces that, I can never tell. I probably have 250 of these piled somewhere."
wrigley,"Even in the days of the typewriter, composing with keys rather than longhand has been done cautiously, as such a method might improperly influence stazaic structure, line length, etc.",between;early;prompt;paper;change,"It would have been dangerous for me in the beginning, I think, to compose on a word processor or a typewriter because it might have given me this inclination toward a particular kind of structure that in fact would not have been as interesting or as evocative to me"
wrigley,"At first, the computer removed almost entirely the longhand aspect of the composition process, though it continued to be used because it saved time.",early;change;prompt;between,"I used to say things like, The reason I keep writing longhand or printing actually, I print the stuff, is that it allows me to feel the shapes of the letters themselves."
wrigley,"Though certainly a combination of the digital and analog methods, revision still mostly occurs with pencil and paper on hard copies—a preference discovered by initial use of the computer.",change;revision,"I discovered that I prefer the old and seemingly laborious manual method with seriously analog notation and keeping track of things."
wrigley,"Though drafts of individual poems and entire manuscripts are printed out from a computer, digital file names are not trusted, and handwritten dates on the printouts are used much like dated passages in notebooks.",files;change;mss,"I had to put a pencil date or a pen date on the corner of the draft just so I knew which was which and when was what."
wrigley,"Assembly and organization of manuscripts is, like most of the process, a combination of digital and analog—finished drafts are printed out, stored physically in a box, then deleted from the computer (though digital drafts in progress are backed up to external hard  drives).",files;mss;future,"I'll print them off, put them in a box, and eliminate them from the hard drive—just get rid of them so they don't clutter up or get in the way. But I'm not all that resourceful with the computer."
wrigley,"Maintaining a rigid routine of protected writing time over the years—often done in a small, dedicated building named The Stanza—has been crucial.",career;prompt,"That's pretty much been my routine really for a long time now, for 20 years. It's a pretty good way to work."
wrigley,"Drafting of sonnets is often used as a warm up at the beginning of writing sessions.",prompt,""
wrigley,"The revision process almost never stops until the manuscript is officially sent to print, be the poems previously published or not.",revision;mss,"I don't think there is anything particularly holy about the fact that it appeared in print in one way—I can tinker with it."
wrigley,"After being honorably discharged from the military in the early 70s, the goal was to write novels—until discovering poetry.",career,"But then I got waylaid by poetry, and I think that I discovered or realized that whatever sort of disposition I have is suited to poetry and not so much to prose, and certainly not to fiction."
wrigley,"A teacher since the very beginning of writing poetry, the classroom has been an enormous inspiration and stablizing element.",career,""
wrigley,"Printouts of drafts are stored in boxes, while published poems that are getting ready for a new book are stored and organized in a thesis binder. ",future;paper;mss,"Usually, a box will take two years to fill and then it goes into storage in the basement until somebody offers me enough money for it. And then they can have all the boxes."
wrigley,"Correspondence is frequent, and though done mostly via email now, are nonetheless printed out and stored in boxes much like drafts and other notes.",correspondence;future,"I love getting letters. It's not like getting an email. But most of the correspondence is via email anymore, and I try to print those off."
gerstler,"She's focused on the low-tech, tactile facets of textual production and revision--how these influenced the making and copying of text--before transitioning to the computer. ",early;paper;between,"Well, this now gets to era and what generation I am, because I'm 57, so when I started writing it was typewriters, you know? I took a typewriter to college and it moved from-you know, I took typing in high school-and it went kind of quickly during my little time capsule of when I was sort of coming up. From portable typewriters and little cute cases that were sort of like a big lunch box with a little handle, to increasingly kind of complicated electric typewriters. With all their weird accoutrements like carbon paper and white out, or weird-they started making typewriters that actually had a correcting tape in them. It was like white and you would type over the letter that you wanted to correct with this white, chalky strip that was in there as part of the typewriter. Before you had to like shove a weird little piece. So, all these kind of very low-tech-viewed in hindsight-ways of dealing with making texts, correcting texts, revising texts, and also copying text. And then to the first sort of big-I remember when, you know, I first got a computer. It was sort of like, you know, I was ZZ Top. I had a tall music system here-it was this big, bulky thing, and there were things that went under the desk. And the printer had like-the print was really ugly looking."
gerstler,"Tension between an allegiance to paper drafting and the insubstantial nature of typing paper--how this fragility almost seemed to impact the poems themselves. ",early;paper;between;revision,"When I started writing poems when I was a kid-before I had access to a typewriter or learned to type-it was, you know, spiral-bound, lined notebooks. And then it kind of moved to typing things, which you'd think would have made me revise a lot, and I did revise, but I love computers. Every time you wanted to change a period, or move texts around, you had to retype everything. And you were sometimes dealing with these crappy kinds of paper like that onion skin-it was erasable, but it was so like thin and fragile and weird-looking, and tactilely bizarre, and kind of see-through-y. And made the poems seem like they were really not substantial. Smeared easily."
gerstler,"Compared to typing, digital revision allows for quicker, more streamlined experimentation with form, lineation, and shape.",between;revision;change,"What I like is I can take a chunk of text and move it up here and it doesn't take me 40 minutes to retype the whole damn thing. And if I don't like it, I can try it down here. And if I want to print out a copy of something as a prose poem, and a copy of it with some line breaks, and look at them next to each other, I can do that in a flash. All that? I couldn't be happier. Because then I'm spending my time reading and writing and revising, and not spending my time [makes typing sound]. Oh! Now I have to do the whole thing all over again!"
